Price,Close,Volume
Ticker,AGQI,AGQI
Date,,
2023-11-21,12.016685485839844,629400
2023-11-22,12.102384567260742,2415600
2023-11-24,12.171894073486328,1860700
2023-11-27,12.159514427185059,2327200
2023-11-28,12.159514427185059,1535200
2023-11-29,12.130949020385742,489500
2023-11-30,12.140469551086426,716400
2023-12-01,12.188080787658691,735000
2023-12-04,12.169035911560059,62900
2023-12-05,12.130949020385742,32000
2023-12-06,12.121427536010742,29500
2023-12-07,12.178558349609375,20800
2023-12-08,12.22616958618164,16700
2023-12-11,12.245210647583008,73400
2023-12-12,12.28329849243164,60300
2023-12-13,12.416608810424805,33600
2023-12-14,12.454693794250488,50700
2023-12-15,12.383279800415039,18000
2023-12-18,12.437555313110352,42600
2023-12-19,12.445172309875488,12000
2023-12-20,12.32138729095459,57400
2023-12-21,12.488020896911621,50500
2023-12-22,12.530928611755371,14600
2023-12-26,12.61007022857666,10800
2023-12-27,12.652976036071777,35000
2023-12-28,12.643441200256348,126500
2023-12-29,12.648208618164062,11100
2024-01-02,12.586231231689453,43900
2024-01-03,12.513766288757324,23700
2024-01-04,12.538557052612305,56800
2024-01-05,12.528067588806152,42100
2024-01-08,12.634861946105957,78100
2024-01-09,12.55762767791748,33100
2024-01-10,12.605301856994629,62000
2024-01-11,12.599580764770508,45900
2024-01-12,12.643441200256348,9900
2024-01-16,12.500415802001953,20700
2024-01-17,12.414602279663086,52200
2024-01-18,12.55762767791748,103400
2024-01-19,12.624372482299805,36500
2024-01-22,12.605301856994629,22200
2024-01-23,12.661559104919434,18300
2024-01-24,12.692069053649902,46200
2024-01-25,12.776931762695312,14600
2024-01-26,12.824607849121094,19600
2024-01-29,12.900887489318848,29100
2024-01-30,12.910421371459961,16100
2024-01-31,12.796003341674805,57800
2024-02-01,12.929494857788086,26600
2024-02-02,12.862747192382812,29400
2024-02-05,12.719721794128418,40400
2024-02-06,12.768349647521973,25800
2024-02-07,12.804585456848145,40800
2024-02-08,12.835094451904297,12200
2024-02-09,12.855119705200195,65900
2024-02-12,12.863701820373535,33800
2024-02-13,12.6768159866333,49700
2024-02-14,12.7673978805542,27100
2024-02-15,12.83414363861084,29400
2024-02-16,12.855119705200195,16200
2024-02-20,12.867514610290527,18900
2024-02-21,12.892306327819824,30100
2024-02-22,13.025796890258789,29500
2024-02-23,13.072517395019531,12800
2024-02-26,12.997191429138184,18600
2024-02-27,12.968585014343262,14500
2024-02-28,12.912328720092773,24100
2024-02-29,12.968585014343262,43500
2024-03-01,13.052495956420898,70800
2024-03-04,13.067750930786133,28600
2024-03-05,12.964773178100586,46700
2024-03-06,13.083005905151367,37900
2024-03-07,13.244150161743164,36200
2024-03-08,13.18884563446045,21800
2024-03-11,13.086820602416992,9600
2024-03-12,13.253683090209961,18100
2024-03-13,13.257497787475586,9400
2024-03-14,13.178356170654297,25800
2024-03-15,13.139262199401855,18400
2024-03-18,13.129729270935059,11000
2024-03-19,13.155473709106445,7000
2024-03-20,13.26321792602539,11900
2024-03-21,13.271811485290527,17300
