Price,Close,Volume
Ticker,BOEU,BOEU
Date,,
2025-04-23,27.622915267944336,23200
2025-04-24,28.872236251831055,6000
2025-04-25,29.359943389892578,3100
2025-04-28,30.858530044555664,24000
2025-04-29,30.7196102142334,12300
2025-04-30,31.07529067993164,7500
2025-05-01,30.976764678955078,8900
2025-05-02,31.819164276123047,4400
2025-05-05,32.08026123046875,3700
2025-05-06,31.98469352722168,4200
2025-05-07,31.86547088623047,4400
2025-05-08,33.873443603515625,12200
2025-05-09,34.98679733276367,21700
2025-05-12,36.2479362487793,25500
2025-05-13,38.09038543701172,30900
2025-05-14,38.468727111816406,58700
2025-05-15,39.11506271362305,53300
2025-05-16,38.91899108886719,25300
2025-05-19,38.64213562011719,11000
2025-05-20,39.54167938232422,10100
2025-05-21,37.77510070800781,18100
2025-05-22,37.9307746887207,15700
2025-05-23,37.54750442504883,9400
2025-05-27,36.99772262573242,18100
2025-05-28,37.18394088745117,3100
2025-05-29,39.66680908203125,36800
2025-05-30,39.31211471557617,12500
2025-06-02,40.8195686340332,36500
2025-06-03,41.676753997802734,26200
2025-06-04,41.01662826538086,44600
2025-06-05,39.83430480957031,17700
2025-06-06,40.37620162963867,25000
2025-06-09,43.05612564086914,30200
2025-06-10,42.40584945678711,27000
2025-06-11,41.686607360839844,43400
2025-06-12,37.57804870605469,165100
2025-06-13,36.31690979003906,84100
2025-06-16,36.77998352050781,34900
2025-06-17,36.19867706298828,41300
2025-06-18,35.35134506225586,29400
2025-06-20,35.75530242919922,9800
2025-06-23,36.51396179199219,24700
2025-06-24,36.32330322265625,26100
2025-06-25,35.730587005615234,14800
2025-06-26,36.95552444458008,27800
2025-06-27,41.28232192993164,45700
2025-06-30,39.602970123291016,51400
2025-07-01,39.46467208862305,16500
2025-07-02,40.24507522583008,29100
2025-07-03,41.410736083984375,23300
2025-07-07,42.68506622314453,28100
2025-07-08,42.68012619018555,53000
2025-07-09,45.905460357666016,43700
2025-07-10,45.737525939941406,29700
2025-07-11,45.92522048950195,18300
2025-07-14,47.32796859741211,40800
2025-07-15,47.13039779663086,36400
2025-07-16,46.9990119934082,31200
2025-07-17,47.52455139160156,35500
2025-07-18,46.752052307128906,21400
2025-07-21,46.68586730957031,25500
2025-07-22,46.34209442138672,34000
2025-07-23,48.38299560546875,64000
2025-07-24,47.64506912231445,38900
2025-07-25,48.220001220703125,23800
2025-07-28,49.51507568359375,53800
2025-07-29,45.40165710449219,167400
2025-07-30,45.194210052490234,55900
2025-07-31,43.42793273925781,28400
2025-08-01,43.51683807373047,32800
2025-08-04,43.624515533447266,34000
2025-08-05,44.49974822998047,42100
2025-08-06,44.6163215637207,17700
2025-08-07,45.49748229980469,23900
2025-08-08,46.18700408935547,30100
2025-08-11,44.840553283691406,22900
2025-08-12,47.386253356933594,40800
2025-08-13,47.80609130859375,45700
2025-08-14,47.84165573120117,24300
2025-08-15,48.62995910644531,60700
2025-08-18,47.459354400634766,68000
2025-08-19,44.439491271972656,53400
2025-08-20,44.47801971435547,10600
2025-08-21,44.097694396972656,28400
2025-08-22,46.029930114746094,51200
2025-08-25,44.876121520996094,23300
2025-08-26,48.11825180053711,48200
2025-08-27,48.450172424316406,25600
2025-08-28,48.613162994384766,12900
2025-08-29,47.99575424194336,35400
2025-09-02,48.9213752746582,39500
2025-09-03,46.90813064575195,52800
2025-09-04,46.288753509521484,20300
2025-09-05,45.704925537109375,41800
2025-09-08,46.27985763549805,42600
2025-09-09,45.76617431640625,45300
2025-09-10,44.8741455078125,25900
2025-09-11,42.040000915527344,83400
2025-09-12,40.46141052246094,57300
2025-09-15,40.266807556152344,26200
2025-09-16,39.867713928222656,29700
2025-09-17,39.853885650634766,17500
2025-09-18,40.182838439941406,20900
2025-09-19,40.10776138305664,69300
2025-09-22,38.930240631103516,54500
2025-09-23,40.556053161621094,136900
2025-09-24,39.96719741821289,86600
2025-09-25,39.27225875854492,29000
2025-09-26,42.251258850097656,160400
2025-09-29,40.536224365234375,122800
2025-09-30,40.04055404663086,74600
2025-10-01,39.82245635986328,43900
2025-10-02,40.803890228271484,60900
2025-10-03,40.139686584472656,50100
2025-10-06,41.45817947387695,74000
2025-10-07,42.251258850097656,112800
2025-10-08,43.609405517578125,61100
2025-10-09,40.139686584472656,113600
2025-10-10,37.869503021240234,113400
2025-10-13,39.53496551513672,53600
2025-10-14,39.00954818725586,28000
2025-10-15,39.0244255065918,42500
2025-10-16,38.1966438293457,23700
2025-10-17,38.39491653442383,28600
2025-10-20,39.93745040893555,31700
2025-10-21,40.11490249633789,17600
2025-10-22,39.8660774230957,11600
2025-10-23,40.22296142578125,22100
2025-10-24,41.43537902832031,61600
2025-10-27,42.29091262817383,57800
2025-10-28,42.37716293334961,108100
2025-10-29,38.811283111572266,192800
2025-10-30,33.70583724975586,132800
2025-10-31,34.26099395751953,61900
2025-11-03,35.480350494384766,43600
2025-11-04,33.07335662841797,56300
2025-11-05,32.795780181884766,30900
2025-11-06,32.44186782836914,38000
2025-11-07,31.693401336669922,18500
2025-11-10,31.800466537475586,33400
2025-11-11,32.048301696777344,8300
2025-11-12,32.06019973754883,19700
2025-11-13,31.750898361206055,20700
2025-11-14,31.623016357421875,20000
2025-11-17,30.803171157836914,39100
2025-11-18,30.08146858215332,32500
2025-11-19,28.79965591430664,48100
2025-11-20,26.831830978393555,79600
2025-11-21,26.98846435546875,21200
2025-11-24,26.724763870239258,45600
2025-11-25,27.751798629760742,27700
2025-11-26,29.06831169128418,63500
2025-11-28,29.74738311767578,23800
2025-12-01,28.832368850708008,43400
2025-12-02,34.71701431274414,103900
2025-12-03,33.657264709472656,61400
2025-12-04,33.61166000366211,39200
2025-12-05,33.503604888916016,22500
2025-12-08,34.92817306518555,42500
2025-12-09,32.99504089355469,46900
2025-12-10,32.594078063964844,31100
2025-12-11,32.868682861328125,14000
2025-12-12,34.161102294921875,43300
2025-12-15,34.55310821533203,12600
2025-12-16,35.04659652709961,66900
2025-12-17,34.75508117675781,51700
2025-12-18,35.448551177978516,34100
2025-12-19,37.54686737060547,59600
2025-12-22,38.30699920654297,34200
2025-12-23,38.380001068115234,14100
2025-12-24,38.79600143432617,16500
2025-12-26,38.040000915527344,29700
2025-12-29,38.45199966430664,15300
2025-12-30,38.944000244140625,41400
2025-12-31,38.28200149536133,25900
2026-01-02,41.78200149536133,65300
2026-01-05,42.1879997253418,38800
2026-01-06,42.63399887084961,52400
2026-01-07,42.189998626708984,76800
2026-01-08,41.849998474121094,27500
2026-01-09,44.33000183105469,69700
2026-01-12,46.321998596191406,59300
2026-01-13,48.08000183105469,95000
2026-01-14,47.380001068115234,55600
2026-01-15,49.40800094604492,45100
2026-01-16,49.347999572753906,27800
2026-01-20,49.834999084472656,73400
2026-01-21,50.380001068115234,40900
2026-01-22,50.78799819946289,59000
2026-01-23,50.95000076293945,60100
2026-01-26,49.72999954223633,49300
2026-01-27,48.02899932861328,153700
2026-01-28,46.94499969482422,113400
2026-01-29,44.007999420166016,87200
2026-01-30,43.85499954223633,42000
2026-02-02,43.53499984741211,33600
2026-02-03,43.4370002746582,24400
2026-02-04,44.44300079345703,38300
2026-02-05,44.808998107910156,42300
2026-02-06,47.178001403808594,38200
2026-02-09,47.7140007019043,36600
2026-02-10,46.902000427246094,53000
2026-02-11,44.70800018310547,36200
2026-02-12,45.540000915527344,21600
2026-02-13,46.83000183105469,42900
2026-02-17,47.2140007019043,33200
2026-02-18,45.51499938964844,29800
2026-02-19,43.32500076293945,73600
2026-02-20,42.7400016784668,18300
2026-02-23,41.97999954223633,41100
2026-02-24,43.310001373291016,38100
2026-02-25,42.00299835205078,25200
2026-02-26,41.62900161743164,21800
2026-02-27,40.98899841308594,22500
2026-03-02,41.62799835205078,17200
2026-03-03,39.595001220703125,20500
2026-03-04,40.819000244140625,30100
2026-03-05,38.85200119018555,22400
2026-03-06,41.9900016784668,95500
2026-03-09,39.810001373291016,63100
2026-03-10,37.09000015258789,68700
2026-03-11,36.020999908447266,55100
2026-03-12,32.96500015258789,72100
2026-03-13,34.465999603271484,39600
2026-03-16,35.65599822998047,34500
2026-03-17,34.73400115966797,37200
2026-03-18,33.1510009765625,18400
2026-03-19,31.584999084472656,45000
2026-03-20,29.597999572753906,38200
2026-03-23,31.524999618530273,17583
