Price,Close,Volume
Ticker,BSL,BSL
Date,,
2021-03-22,10.100905418395996,121500
2021-03-23,10.129451751708984,100300
2021-03-24,10.155998229980469,48500
2021-03-25,10.102897644042969,36700
2021-03-26,10.189190864562988,63300
2021-03-29,10.182551383972168,60800
2021-03-30,10.222379684448242,82500
2021-03-31,10.328585624694824,110200
2021-04-01,10.315311431884766,83400
2021-04-05,10.335222244262695,66800
2021-04-06,10.434793472290039,63500
2021-04-07,10.587462425231934,116600
2021-04-08,10.726862907409668,86300
2021-04-09,10.620654106140137,70700
2021-04-12,10.620654106140137,79400
2021-04-13,10.614017486572266,86700
2021-04-14,10.647208213806152,57600
2021-04-15,10.69367504119873,60800
2021-04-16,10.620654106140137,40600
2021-04-19,10.647208213806152,41100
2021-04-20,10.574191093444824,46700
2021-04-21,10.541003227233887,59000
2021-04-22,10.5563383102417,40100
2021-04-23,10.5563383102417,47200
2021-04-26,10.516325950622559,52800
2021-04-27,10.48298168182373,62000
2021-04-28,10.50965690612793,70000
2021-04-29,10.50965690612793,47700
2021-04-30,10.589680671691895,41200
2021-05-03,10.716382026672363,44800
2021-05-04,11.289878845214844,41900
2021-05-05,10.676370620727539,59700
2021-05-06,10.589680671691895,86900
2021-05-07,10.609685897827148,37400
2021-05-10,10.563006401062012,48300
2021-05-11,10.563006401062012,39100
2021-05-12,10.522992134094238,41600
2021-05-13,10.50965690612793,55200
2021-05-14,10.543001174926758,42700
2021-05-17,10.656364440917969,64200
2021-05-18,10.76972770690918,60700
2021-05-19,10.836419105529785,134300
2021-05-20,10.9389066696167,50300
2021-05-21,10.985796928405762,59600
2021-05-24,10.992494583129883,45700
2021-05-25,10.97239875793457,31900
2021-05-26,10.959003448486328,31000
2021-05-27,10.918808937072754,57600
2021-05-28,11.012594223022461,49400
2021-06-01,10.985796928405762,38200
2021-06-02,11.005890846252441,56800
2021-06-03,11.005890846252441,43400
2021-06-04,10.97239875793457,48100
2021-06-07,10.965702056884766,39800
2021-06-08,10.818330764770508,98900
2021-06-09,10.818330764770508,51800
2021-06-10,10.825026512145996,38200
2021-06-11,10.918808937072754,59500
2021-06-14,10.97239875793457,23800
2021-06-15,11.005890846252441,32300
2021-06-16,10.97239875793457,46000
2021-06-17,10.9389066696167,21500
2021-06-18,10.965702056884766,24000
2021-06-21,10.918808937072754,75500
2021-06-22,10.95582389831543,27100
2021-06-23,10.94909381866455,45200
2021-06-24,10.942363739013672,46900
2021-06-25,10.935636520385742,65100
2021-06-28,10.95582389831543,49000
2021-06-29,10.935636520385742,96200
2021-06-30,11.002930641174316,61600
2021-07-01,11.009659767150879,59900
2021-07-02,11.016390800476074,49500
2021-07-06,11.076955795288086,44500
2021-07-07,11.009659767150879,52300
2021-07-08,11.023119926452637,30900
2021-07-09,10.9221773147583,86600
2021-07-12,10.908716201782227,50600
2021-07-13,10.94909381866455,39200
2021-07-14,10.942363739013672,11200
2021-07-15,10.901986122131348,38100
2021-07-16,10.841421127319336,34900
2021-07-19,10.74047565460205,64900
2021-07-20,10.81450366973877,32000
2021-07-21,10.780855178833008,29900
2021-07-22,10.723380088806152,57500
2021-07-23,10.81804084777832,55000
2021-07-26,10.858604431152344,42900
2021-07-27,10.993833541870117,41700
2021-07-28,10.953266143798828,53200
2021-07-29,10.987072944641113,32300
2021-07-30,11.000596046447754,34200
2021-08-02,11.020879745483398,45900
2021-08-03,11.068207740783691,38600
2021-08-04,11.095252990722656,54600
2021-08-05,11.095252990722656,19800
2021-08-06,11.156106948852539,26000
2021-08-09,11.129058837890625,62900
