Price,Close,Volume
Ticker,CATX,CATX
Date,,
2021-03-22,12.600000381469727,226090
2021-03-23,11.100000381469727,882490
2021-03-24,12.0,503010
2021-03-25,11.899999618530273,300380
2021-03-26,11.199999809265137,207050
2021-03-29,10.600000381469727,269610
2021-03-30,10.800000190734863,164220
2021-03-31,10.899999618530273,356790
2021-04-01,11.5,227820
2021-04-05,11.0,212580
2021-04-06,11.300000190734863,161680
2021-04-07,11.0,137220
2021-04-08,10.800000190734863,100810
2021-04-09,10.699999809265137,140530
2021-04-12,10.100000381469727,184660
2021-04-13,10.399999618530273,187300
2021-04-14,10.300000190734863,132610
2021-04-15,9.5,207240
2021-04-16,8.600000381469727,408890
2021-04-19,8.300000190734863,309690
2021-04-20,8.199999809265137,140200
2021-04-21,8.899999618530273,134220
2021-04-22,8.699999809265137,127860
2021-04-23,9.0,121690
2021-04-26,9.5,125860
2021-04-27,9.300000190734863,135340
2021-04-28,9.300000190734863,67310
2021-04-29,9.300000190734863,122320
2021-04-30,9.199999809265137,144490
2021-05-03,9.0,96640
2021-05-04,8.699999809265137,109070
2021-05-05,8.800000190734863,42830
2021-05-06,8.399999618530273,107300
2021-05-07,8.800000190734863,65580
2021-05-10,8.199999809265137,122630
2021-05-11,8.5,139530
2021-05-12,8.199999809265137,82230
2021-05-13,7.800000190734863,131520
2021-05-14,7.699999809265137,181970
2021-05-17,8.0,131090
2021-05-18,8.0,112950
2021-05-19,8.0,60870
2021-05-20,8.0,68180
2021-05-21,8.0,61060
2021-05-24,7.699999809265137,59920
2021-05-25,7.5,103010
2021-05-26,8.0,127850
2021-05-27,7.800000190734863,80830
2021-05-28,8.0,138640
2021-06-01,8.300000190734863,173590
2021-06-02,8.0,95210
2021-06-03,9.199999809265137,439210
2021-06-04,8.899999618530273,222740
2021-06-07,9.100000381469727,200120
2021-06-08,8.600000381469727,268610
2021-06-09,8.699999809265137,125780
2021-06-10,8.5,109600
2021-06-11,8.699999809265137,92200
2021-06-14,8.5,132460
2021-06-15,8.199999809265137,104240
2021-06-16,8.399999618530273,160270
2021-06-17,8.300000190734863,76610
2021-06-18,8.199999809265137,118840
2021-06-21,7.900000095367432,161580
2021-06-22,7.699999809265137,115540
2021-06-23,8.0,95380
2021-06-24,8.300000190734863,99600
2021-06-25,8.100000381469727,108850
2021-06-28,8.100000381469727,78710
2021-06-29,8.100000381469727,39280
2021-06-30,8.0,66780
2021-07-01,7.900000095367432,67170
2021-07-02,7.800000190734863,59760
2021-07-06,7.699999809265137,70620
2021-07-07,7.599999904632568,97570
2021-07-08,7.599999904632568,121930
2021-07-09,7.800000190734863,73300
2021-07-12,7.699999809265137,39160
2021-07-13,7.400000095367432,97320
2021-07-14,7.099999904632568,97870
2021-07-15,7.199999809265137,50150
2021-07-16,7.0,59090
2021-07-19,6.699999809265137,111720
2021-07-20,7.199999809265137,117580
2021-07-21,7.300000190734863,52290
2021-07-22,6.900000095367432,57630
2021-07-23,7.0,99610
2021-07-26,7.0,40800
2021-07-27,6.900000095367432,80410
2021-07-28,7.099999904632568,52090
2021-07-29,7.0,39440
2021-07-30,6.900000095367432,41790
2021-08-02,6.900000095367432,30360
2021-08-03,6.800000190734863,42420
2021-08-04,6.800000190734863,52040
2021-08-05,6.900000095367432,28060
2021-08-06,6.900000095367432,36040
2021-08-09,6.900000095367432,44740
2021-08-10,6.699999809265137,62390
2021-08-11,6.699999809265137,38720
2021-08-12,6.699999809265137,83040
2021-08-13,6.5,73950
2021-08-16,6.199999809265137,117000
2021-08-17,6.099999904632568,61810
2021-08-18,5.900000095367432,80320
2021-08-19,5.800000190734863,68110
2021-08-20,6.300000190734863,117990
2021-08-23,6.300000190734863,55420
2021-08-24,6.400000095367432,138680
2021-08-25,6.699999809265137,92970
2021-08-26,6.599999904632568,141950
2021-08-27,6.5,95170
2021-08-30,6.300000190734863,45060
2021-08-31,6.400000095367432,39360
2021-09-01,6.5,72150
2021-09-02,6.900000095367432,126780
2021-09-03,6.900000095367432,82030
2021-09-07,6.699999809265137,59430
2021-09-08,6.800000190734863,47980
2021-09-09,6.800000190734863,45410
2021-09-10,7.099999904632568,103210
2021-09-13,7.0,55020
2021-09-14,7.199999809265137,145720
2021-09-15,6.900000095367432,85970
2021-09-16,6.599999904632568,114350
2021-09-17,6.800000190734863,60590
2021-09-20,6.300000190734863,137580
2021-09-21,6.5,80570
2021-09-22,6.300000190734863,107880
2021-09-23,6.400000095367432,93590
2021-09-24,6.599999904632568,63570
2021-09-27,6.5,43530
2021-09-28,6.400000095367432,75190
2021-09-29,6.300000190734863,50440
2021-09-30,6.300000190734863,63350
2021-10-01,6.300000190734863,41350
2021-10-04,6.199999809265137,38600
2021-10-05,6.199999809265137,81950
2021-10-06,5.900000095367432,97120
2021-10-07,5.900000095367432,96550
2021-10-08,5.800000190734863,49650
2021-10-11,5.900000095367432,41900
2021-10-12,6.099999904632568,93550
2021-10-13,6.199999809265137,28110
2021-10-14,6.199999809265137,36080
2021-10-15,6.199999809265137,42450
2021-10-18,6.199999809265137,54910
2021-10-19,6.199999809265137,37610
2021-10-20,6.400000095367432,66370
2021-10-21,6.699999809265137,98620
2021-10-22,6.400000095367432,78720
2021-10-25,6.300000190734863,68060
2021-10-26,6.400000095367432,54000
2021-10-27,6.199999809265137,39000
2021-10-28,6.099999904632568,40300
2021-10-29,6.099999904632568,37980
2021-11-01,6.099999904632568,50920
2021-11-02,6.5,70010
2021-11-03,6.800000190734863,120540
2021-11-04,6.699999809265137,53740
2021-11-05,6.599999904632568,50930
2021-11-08,6.400000095367432,60660
2021-11-09,6.300000190734863,39050
2021-11-10,6.199999809265137,72810
2021-11-11,5.900000095367432,103380
2021-11-12,5.900000095367432,41360
2021-11-15,6.0,109870
2021-11-16,5.400000095367432,197580
2021-11-17,5.099999904632568,96710
2021-11-18,5.0,85920
2021-11-19,4.900000095367432,54410
2021-11-22,4.599999904632568,83210
2021-11-23,4.699999809265137,75260
2021-11-24,5.099999904632568,64450
2021-11-26,4.900000095367432,47150
2021-11-29,4.800000190734863,67750
2021-11-30,4.5,110690
2021-12-01,4.300000190734863,63740
2021-12-02,4.5,73310
2021-12-03,4.199999809265137,89400
2021-12-06,4.599999904632568,171950
2021-12-07,4.599999904632568,76400
2021-12-08,4.599999904632568,28600
2021-12-09,4.699999809265137,90850
2021-12-10,4.599999904632568,58890
2021-12-13,4.400000095367432,35520
2021-12-14,4.099999904632568,169640
2021-12-15,4.199999809265137,42370
2021-12-16,4.300000190734863,54840
2021-12-17,4.199999809265137,30740
2021-12-20,4.199999809265137,174370
2021-12-21,4.099999904632568,77710
2021-12-22,4.199999809265137,40320
2021-12-23,4.099999904632568,69860
2021-12-27,3.9000000953674316,135070
2021-12-28,3.9000000953674316,163930
2021-12-29,3.799999952316284,119050
2021-12-30,3.799999952316284,118950
2021-12-31,3.9000000953674316,160260
2022-01-03,4.099999904632568,90640
2022-01-04,4.0,52650
2022-01-05,4.0,57590
2022-01-06,3.9000000953674316,43860
2022-01-07,3.799999952316284,47030
2022-01-10,3.700000047683716,49490
2022-01-11,3.799999952316284,52090
2022-01-12,3.799999952316284,32250
2022-01-13,3.9000000953674316,39870
2022-01-14,3.9000000953674316,31980
2022-01-18,3.799999952316284,31130
2022-01-19,3.799999952316284,66150
2022-01-20,3.799999952316284,29210
2022-01-21,3.700000047683716,75880
2022-01-24,3.4000000953674316,111450
2022-01-25,3.5,47020
2022-01-26,3.4000000953674316,36370
2022-01-27,3.5,50420
2022-01-28,3.5999999046325684,36400
2022-01-31,3.799999952316284,50420
2022-02-01,3.799999952316284,67540
2022-02-02,3.9000000953674316,67960
2022-02-03,3.799999952316284,26380
2022-02-04,3.799999952316284,37440
2022-02-07,3.799999952316284,36380
2022-02-08,3.799999952316284,74110
2022-02-09,4.099999904632568,121440
2022-02-10,4.099999904632568,25370
2022-02-11,3.799999952316284,50100
2022-02-14,3.700000047683716,55550
2022-02-15,3.799999952316284,26660
2022-02-16,3.799999952316284,14680
2022-02-17,3.700000047683716,27760
2022-02-18,3.799999952316284,28150
2022-02-22,3.299999952316284,77980
2022-02-23,3.4000000953674316,34400
2022-02-24,3.4000000953674316,26550
2022-02-25,3.5,23340
2022-02-28,3.5,23160
2022-03-01,3.4000000953674316,39050
2022-03-02,3.5,252890
2022-03-03,3.4000000953674316,44120
2022-03-04,3.4000000953674316,45920
2022-03-07,3.299999952316284,50280
2022-03-08,3.200000047683716,75130
2022-03-09,3.4000000953674316,35140
2022-03-10,3.5,26320
2022-03-11,3.4000000953674316,11430
2022-03-14,3.200000047683716,36440
2022-03-15,3.0999999046325684,36290
2022-03-16,3.299999952316284,35090
2022-03-17,3.5999999046325684,149570
2022-03-18,3.299999952316284,57950
2022-03-21,3.5999999046325684,28180
2022-03-22,3.799999952316284,32290
2022-03-23,3.700000047683716,55340
2022-03-24,3.700000047683716,28420
2022-03-25,3.799999952316284,28080
2022-03-28,3.700000047683716,22610
2022-03-29,3.5999999046325684,26530
2022-03-30,3.700000047683716,31950
2022-03-31,3.5999999046325684,35090
2022-04-01,3.5999999046325684,17800
2022-04-04,3.700000047683716,17810
2022-04-05,3.700000047683716,15000
2022-04-06,3.5999999046325684,24300
2022-04-07,3.5,19920
2022-04-08,3.5,16050
2022-04-11,3.4000000953674316,12930
2022-04-12,3.4000000953674316,27580
2022-04-13,3.299999952316284,27820
2022-04-14,3.4000000953674316,30320
