Price,Close,Volume
Ticker,CHSCL,CHSCL
Date,,
2021-03-23,20.161338806152344,20500
2021-03-24,20.35061264038086,28300
2021-03-25,20.161338806152344,17500
2021-03-26,20.04918098449707,24300
2021-03-29,20.04918098449707,28200
2021-03-30,20.063196182250977,9500
2021-03-31,20.182369232177734,45900
2021-04-01,20.175363540649414,44100
2021-04-05,20.09824562072754,33900
2021-04-06,20.070207595825195,39000
2021-04-07,20.091238021850586,20000
2021-04-08,20.182369232177734,16300
2021-04-09,20.24545669555664,18700
2021-04-12,20.18937873840332,8100
2021-04-13,20.37164306640625,18300
2021-04-14,20.266494750976562,9400
2021-04-15,20.203397750854492,19700
2021-04-16,20.084228515625,33300
2021-04-19,20.2314395904541,18100
2021-04-20,20.19639015197754,14100
2021-04-21,20.23845100402832,14300
2021-04-22,20.15433120727539,24200
2021-04-23,20.191476821899414,17700
2021-04-26,20.322568893432617,16100
2021-04-27,20.24545669555664,14600
2021-04-28,20.31556510925293,22800
2021-04-29,20.19639015197754,23100
2021-04-30,19.99309730529785,72700
2021-05-03,20.15433120727539,24700
2021-05-04,20.147319793701172,18000
2021-05-05,20.105257034301758,13900
2021-05-06,20.161338806152344,15700
2021-05-07,20.259479522705078,15000
2021-05-10,20.140308380126953,39600
2021-05-11,20.04918098449707,18000
2021-05-12,19.677637100219727,51400
2021-05-13,19.754743576049805,44500
2021-05-14,20.084228515625,25400
2021-05-17,20.021135330200195,18600
2021-05-18,20.1332950592041,24400
2021-05-19,20.09824562072754,6900
2021-05-20,20.273502349853516,17600
2021-05-21,20.266494750976562,26000
2021-05-24,20.217422485351562,33600
2021-05-25,20.22443199157715,17600
2021-05-26,20.35061264038086,14600
2021-05-27,20.385663986206055,13100
2021-05-28,20.427724838256836,52100
2021-06-01,20.434736251831055,31200
2021-06-02,20.6590633392334,16800
2021-06-03,20.694114685058594,14700
2021-06-04,20.743183135986328,13200
2021-06-07,20.624011993408203,17800
2021-06-08,20.58896255493164,36100
2021-06-09,20.624011993408203,33300
2021-06-10,20.624011993408203,24600
2021-06-11,20.806276321411133,14900
2021-06-14,20.722156524658203,35500
2021-06-15,20.671579360961914,23100
2021-06-16,20.436513900756836,31800
2021-06-17,20.372407913208008,32800
2021-06-18,20.279802322387695,178100
2021-06-21,20.27267837524414,16800
2021-06-22,20.24418830871582,13900
2021-06-23,20.372407913208008,15300
2021-06-24,20.443639755249023,20900
2021-06-25,20.358156204223633,19800
2021-06-28,20.400897979736328,14400
2021-06-29,20.443639755249023,17900
2021-06-30,20.785552978515625,79600
2021-07-01,20.785552978515625,19800
2021-07-02,20.956512451171875,13100
2021-07-06,20.856781005859375,30100
2021-07-07,20.90664291381836,13100
2021-07-08,20.835411071777344,13600
2021-07-09,20.888837814331055,14500
2021-07-12,20.84894561767578,21100
2021-07-13,20.65733528137207,28800
2021-07-14,20.76418113708496,20800
2021-07-15,20.735692977905273,7600
2021-07-16,20.678709030151367,13700
2021-07-19,20.614593505859375,17100
2021-07-20,20.65733528137207,20400
2021-07-21,20.78127670288086,15000
2021-07-22,20.771305084228516,13000
2021-07-23,20.820457458496094,13800
2021-07-26,20.785552978515625,28000
2021-07-27,20.76418113708496,14400
2021-07-28,20.792678833007812,12100
2021-07-29,20.678709030151367,37200
2021-07-30,20.828292846679688,19700
2021-08-02,20.878154754638672,19600
2021-08-03,20.885276794433594,18000
2021-08-04,20.89952278137207,15600
2021-08-05,20.963634490966797,25100
2021-08-06,21.09185028076172,19500
2021-08-09,20.94226837158203,34500
2021-08-10,20.785552978515625,15400
2021-08-11,20.749937057495117,11300
2021-08-12,20.778427124023438,19200
2021-08-13,20.93514060974121,15400
2021-08-16,21.034868240356445,12200
2021-08-17,20.90664291381836,8000
2021-08-18,20.828292846679688,23800
2021-08-19,20.785552978515625,14500
2021-08-20,21.049110412597656,15200
2021-08-23,21.0419921875,11900
2021-08-24,20.999250411987305,13100
2021-08-25,21.09897804260254,24600
2021-08-26,21.07760238647461,14600
2021-08-27,21.20582389831543,23300
2021-08-30,21.05623435974121,17100
2021-08-31,21.027740478515625,31000
2021-09-01,21.241439819335938,22100
2021-09-02,21.298425674438477,15900
2021-09-03,21.08686637878418,16600
2021-09-07,21.141714096069336,20300
2021-09-08,21.20582389831543,11100
2021-09-09,21.277055740356445,11800
2021-09-10,21.33403778076172,21300
2021-09-13,21.490751266479492,35900
2021-09-14,21.490751266479492,15000
2021-09-15,21.554861068725586,26200
2021-09-16,21.496252059936523,28600
2021-09-17,21.44560432434082,39600
2021-09-20,21.287878036499023,27500
2021-09-21,21.31970977783203,17000
2021-09-22,21.33707046508789,37700
2021-09-23,21.199600219726562,50300
2021-09-24,21.03318977355957,25300
2021-09-27,20.917423248291016,16100
2021-09-28,20.72930335998535,32900
2021-09-29,21.0621280670166,17300
2021-09-30,21.13448715209961,64700
2021-10-01,21.09830665588379,17700
2021-10-04,20.92466163635254,37100
2021-10-05,20.707599639892578,23400
2021-10-06,20.664186477661133,32900
2021-10-07,20.656953811645508,42500
2021-10-08,20.67865562438965,12300
2021-10-11,20.693130493164062,17800
2021-10-12,20.707599639892578,56500
2021-10-13,20.656953811645508,75500
2021-10-14,20.72206687927246,69400
2021-10-15,20.664186477661133,185800
2021-10-18,20.70036506652832,12700
2021-10-19,20.667810440063477,19800
2021-10-20,20.765483856201172,17900
2021-10-21,20.794422149658203,41600
2021-10-22,20.797311782836914,13400
2021-10-25,20.794422149658203,15400
2021-10-26,20.787185668945312,13300
2021-10-27,20.774885177612305,8200
2021-10-28,20.787185668945312,17200
2021-10-29,20.975305557250977,59100
2021-11-01,21.127248764038086,23100
2021-11-02,21.13448715209961,13500
2021-11-03,21.0621280670166,16200
2021-11-04,21.239395141601562,32900
2021-11-05,21.322603225708008,21700
2021-11-08,21.141721725463867,24000
2021-11-09,21.156917572021484,12200
2021-11-10,20.946369171142578,16500
2021-11-11,20.88920783996582,21200
2021-11-12,20.801658630371094,20700
2021-11-15,20.859542846679688,22200
2021-11-16,20.801658630371094,9400
2021-11-17,20.902956008911133,10500
2021-11-18,20.692407608032227,39600
2021-11-19,20.743770599365234,14400
2021-11-22,20.75824546813965,16300
2021-11-23,20.801658630371094,24000
2021-11-24,20.92466163635254,12000
2021-11-26,20.931894302368164,7500
2021-11-29,20.96807289123535,16000
2021-11-30,20.664186477661133,46500
2021-12-01,20.693130493164062,20700
2021-12-02,20.656953811645508,30700
2021-12-03,20.620771408081055,16600
2021-12-06,20.656953811645508,23100
2021-12-07,20.765483856201172,14800
2021-12-08,20.801658630371094,14400
2021-12-09,20.70036506652832,16900
2021-12-10,20.67865562438965,12500
2021-12-13,20.874011993408203,33600
2021-12-14,20.693130493164062,42100
2021-12-15,20.859542846679688,27300
2021-12-16,21.057392120361328,27800
2021-12-17,20.983842849731445,11300
2021-12-20,20.87351417541504,38500
2021-12-21,20.8477725982666,27300
2021-12-22,20.932353973388672,27700
2021-12-23,20.888225555419922,17800
2021-12-27,20.777896881103516,126100
2021-12-28,20.799962997436523,29700
2021-12-29,20.78525733947754,17400
2021-12-30,20.77128028869629,14800
2021-12-31,20.947065353393555,68400
2022-01-03,20.95442008972168,51100
2022-01-04,20.78525733947754,31500
2022-01-05,20.689640045166016,15500
2022-01-06,20.976486206054688,38400
2022-01-07,20.961772918701172,33400
2022-01-10,20.983842849731445,28500
2022-01-11,20.947065353393555,31200
2022-01-12,20.961772918701172,14900
2022-01-13,21.130939483642578,20500
2022-01-14,20.9647216796875,18100
2022-01-18,20.90293312072754,47200
2022-01-19,20.991195678710938,18300
2022-01-20,20.90293312072754,25100
2022-01-21,20.947065353393555,29900
2022-01-24,20.983842849731445,43700
2022-01-25,20.733774185180664,17400
2022-01-26,20.704349517822266,33500
2022-01-27,20.704349517822266,39400
2022-01-28,20.5572509765625,14400
2022-01-31,20.961772918701172,42800
2022-02-01,20.770545959472656,17100
2022-02-02,20.6160888671875,30500
2022-02-03,20.623443603515625,26900
2022-02-04,20.380725860595703,28100
2022-02-07,20.24024772644043,30500
2022-02-08,20.101240158081055,35800
2022-02-09,19.932071685791016,29900
2022-02-10,19.784975051879883,32900
2022-02-11,19.564321517944336,38500
2022-02-14,19.67464828491211,47700
2022-02-15,19.950462341308594,95800
2022-02-16,20.29982566833496,40300
2022-02-17,20.45427703857422,31000
2022-02-18,20.586668014526367,64800
2022-02-22,20.65286636352539,27100
2022-02-23,20.71906280517578,36100
2022-02-24,20.571958541870117,24100
2022-02-25,20.759510040283203,9900
2022-02-28,20.608736038208008,31400
2022-03-01,20.45427703857422,25400
2022-03-02,20.410146713256836,28100
2022-03-03,20.314531326293945,13100
2022-03-04,20.18950080871582,15100
2022-03-07,20.086528778076172,18900
2022-03-08,20.218917846679688,29800
2022-03-09,20.138011932373047,16200
2022-03-10,20.12330436706543,20000
2022-03-11,20.20126724243164,16900
2022-03-14,19.89529800415039,29600
2022-03-15,20.321889877319336,24100
2022-03-16,20.448335647583008,19300
2022-03-17,20.57552719116211,27100
2022-03-18,20.373517990112305,15200
2022-03-21,20.57552719116211,15700
2022-03-22,20.571788787841797,25100
2022-03-23,20.635385513305664,16200
2022-03-24,20.538124084472656,23400
2022-03-25,20.43337059020996,21700
2022-03-28,20.463300704956055,12700
2022-03-29,20.538124084472656,111300
2022-03-30,20.650352478027344,19900
2022-03-31,20.7102108001709,48600
2022-04-01,20.69524383544922,13100
2022-04-04,20.747617721557617,19900
2022-04-05,20.530637741088867,11200
2022-04-06,20.590497970581055,20800
2022-04-07,20.75510025024414,17400
2022-04-08,20.687761306762695,15500
2022-04-11,20.620420455932617,26800
