Price,Close,Volume
Ticker,CHSCO,CHSCO
Date,,
2021-03-23,19.935443878173828,12800
2021-03-24,20.108978271484375,20400
2021-03-25,19.997915267944336,11700
2021-03-26,19.956266403198242,12800
2021-03-29,19.928504943847656,3400
2021-03-30,19.984031677246094,22800
2021-03-31,19.9423828125,55800
2021-04-01,20.16451072692871,26900
2021-04-05,19.977094650268555,24900
2021-04-06,19.984031677246094,26600
2021-04-07,20.00485610961914,18000
2021-04-08,19.956266403198242,14900
2021-04-09,19.977094650268555,6300
2021-04-12,19.893798828125,7700
2021-04-13,19.970149993896484,21800
2021-04-14,19.872974395751953,14800
2021-04-15,19.928504943847656,10600
2021-04-16,19.970149993896484,12400
2021-04-19,19.956266403198242,10000
2021-04-20,19.872974395751953,12500
2021-04-21,19.859088897705078,9700
2021-04-22,19.949325561523438,17500
2021-04-23,19.9423828125,11700
2021-04-26,19.956266403198242,27200
2021-04-27,19.907682418823242,13500
2021-04-28,19.928504943847656,12600
2021-04-29,19.83827018737793,11900
2021-04-30,19.741086959838867,67000
2021-05-03,19.817441940307617,39000
2021-05-04,19.817441940307617,11300
2021-05-05,19.775794982910156,10200
2021-05-06,19.727201461791992,46200
2021-05-07,19.76885223388672,13800
2021-05-10,19.713321685791016,13300
2021-05-11,19.63697052001953,18800
2021-05-12,19.400968551635742,54600
2021-05-13,19.435672760009766,66700
2021-05-14,19.595319747924805,19800
2021-05-17,19.67861557006836,9800
2021-05-18,19.782733917236328,11900
2021-05-19,19.713321685791016,14500
2021-05-20,19.782733917236328,9600
2021-05-21,19.9423828125,3600
2021-05-24,19.977094650268555,22000
2021-05-25,19.92156219482422,14800
2021-05-26,19.886856079101562,23400
2021-05-27,19.893798828125,16100
2021-05-28,19.886856079101562,25000
2021-06-01,19.956266403198242,26900
2021-06-02,20.115917205810547,20800
2021-06-03,20.14368438720703,4100
2021-06-04,20.185333251953125,6400
2021-06-07,20.16451072692871,12200
2021-06-08,20.15062713623047,21700
2021-06-09,20.12980079650879,27400
2021-06-10,20.192276000976562,9100
2021-06-11,20.199214935302734,70600
2021-06-14,20.060388565063477,35800
2021-06-15,19.934694290161133,26100
2021-06-16,19.88526153564453,25500
2021-06-17,19.864078521728516,35700
2021-06-18,19.758155822753906,214600
2021-06-21,19.828771591186523,25800
2021-06-22,19.835832595825195,9500
2021-06-23,19.899385452270508,9200
2021-06-24,19.948814392089844,8900
2021-06-25,19.899385452270508,14400
2021-06-28,19.88526153564453,9800
2021-06-29,19.828771591186523,25600
2021-06-30,20.082983016967773,85100
2021-07-01,20.104167938232422,9800
2021-07-02,20.231277465820312,17700
2021-07-06,20.27364730834961,11700
