Price,Close,Volume
Ticker,DEC,DEC
Date,,
2021-03-22,0.0,11200
2021-03-23,0.0,39700
2021-03-24,0.0,4200
2021-03-25,0.0,30700
2021-03-26,0.0,700
2021-03-29,0.0,7000
2021-03-30,0.0,200
2021-03-31,0.0,6100
2021-04-01,0.0,1000
2021-04-05,0.0,8600
2021-04-06,0.0,13600
2021-04-07,0.0,29400
2021-04-08,0.0,19100
2021-04-09,0.0,19400
2021-04-12,0.0,1000
2021-04-14,0.0,1000
2021-04-15,0.0,12000
2021-04-16,0.0,24100
2021-04-19,0.0,8000
2021-04-20,0.0,36700
2021-04-21,0.0,200
2021-04-22,0.0,25600
2021-04-23,0.0,1900
2021-04-26,0.0,15900
2021-04-27,0.0,5800
2021-04-28,0.0,2000
2021-04-30,0.0,22300
2021-05-03,0.0,1700
2021-05-04,0.0,25700
2021-05-05,0.0,6300
2021-05-06,0.0,1700
2021-05-07,0.0,1300
2021-05-10,0.0,11200
2021-05-11,0.0,500
2021-05-12,0.0,4000
2021-05-13,0.0,4100
2021-05-14,0.0,9100
2021-05-17,0.0,14100
2021-05-19,0.0,2900
2021-05-20,0.0,6200
2021-05-21,0.0,369600
2021-05-24,0.0,6600
2021-05-25,0.0,33500
2021-05-26,0.0,43400
2021-05-27,0.0,49600
2021-05-28,0.0,39100
2021-06-01,0.0,5500
2021-06-02,0.0,25200
2021-06-03,0.0,7000
2021-06-04,0.0,15600
2021-06-07,0.0,4400
2021-06-08,0.0,9200
2021-06-09,0.0,21900
2021-06-10,0.0,44500
2021-06-11,0.0,500
2021-06-14,0.0,17300
2021-06-15,0.0,34600
2021-06-16,0.0,26200
2021-06-17,0.0,7800
2021-06-18,0.0,39900
2021-06-21,0.0,33000
2021-06-22,0.0,67100
2021-06-23,0.0,3700
2021-06-24,0.0,26900
2021-06-25,0.0,9500
2021-06-28,0.0,11900
2021-06-29,0.0,6700
2021-06-30,0.0,1100
2021-07-01,0.0,1000
2021-07-06,0.0,58300
2021-07-07,0.0,54400
2021-07-08,0.0,18100
2021-07-09,0.0,73100
2021-07-12,0.0,4600
2021-07-13,0.0,106500
2021-07-14,0.0,400
2021-07-15,0.0,5900
2021-07-16,0.0,7500
2021-07-19,0.0,2700
2021-07-20,0.0,21800
2021-07-21,0.0,45800
2021-07-22,0.0,2300
2021-07-26,0.0,25000
2021-07-27,0.0,8200
2021-07-28,0.0,6600
2021-07-29,0.0,2000
2021-07-30,0.0,14000
2021-08-03,0.0,1500
2021-08-04,0.0,2200
2021-08-05,0.0,2500
2021-08-06,0.0,1000
2021-08-09,0.0,22400
2021-08-12,0.0,600
2021-08-13,0.0,2800
2021-08-16,0.0,9600
2021-08-17,0.0,32100
2021-08-18,0.0,500
2021-08-20,0.0,16700
2021-08-23,0.0,7500
2021-08-24,0.0,1000
2021-08-25,0.0,2900
2021-08-26,0.0,2300
2021-08-27,0.0,6800
2021-08-31,0.0,2300
2021-09-01,0.0,500
2021-09-02,0.0,15400
2021-09-07,0.0,2600
2021-09-08,0.0,900
2021-09-09,0.0,5000
2021-09-10,0.0,8200
2021-09-13,0.0,8900
2021-09-14,0.0,200
2021-09-15,0.0,600
2021-09-17,0.0,5200
2021-09-20,0.0,1600
2021-09-21,0.0,6600
2021-09-22,0.0,200
2021-09-24,0.0,10000
2021-09-27,0.0,42200
2021-09-28,0.0,28600
2021-09-29,0.0,23400
2021-09-30,0.0,1400
2021-10-01,0.0,9800
2021-10-04,0.0,23900
2021-10-05,0.0,533000
2021-10-06,0.0,20900
2021-10-07,0.0,8200
2021-10-08,0.0,12800
2021-10-11,0.0,51500
2021-10-12,0.0,801900
2021-10-13,0.0,129400
2021-10-14,0.0,66400
2021-10-15,0.0,37300
2021-10-18,0.0,26300
2021-10-19,0.0,55100
2021-10-20,0.0,33100
2021-10-21,0.0,13800
2021-10-22,0.0,3400
2021-10-25,0.0,1200
2021-10-26,0.0,40400
2021-10-27,0.0,62600
2021-10-28,0.0,47100
2021-10-29,0.0,18800
2021-11-01,0.0,11300
2021-11-02,0.0,148400
2021-11-03,0.0,5400
2021-11-04,0.0,11800
2021-11-05,0.0,54200
2021-11-08,0.0,46100
2021-11-09,0.0,40800
2021-11-10,0.0,69600
2021-11-11,0.0,27300
2021-11-12,0.0,23300
2021-11-15,0.0,2400
2021-11-16,0.0,30100
2021-11-17,0.0,35700
2021-11-18,0.0,16400
2021-11-19,0.0,17200
2021-11-22,0.0,20000
2021-11-23,0.0,8000
2021-11-24,0.0,9100
2021-11-26,0.0,33500
2021-11-29,0.0,45000
2021-11-30,0.0,202100
2021-12-01,0.0,5800
2021-12-02,0.0,65200
2021-12-03,0.0,6400
2021-12-06,0.0,42000
2021-12-07,0.0,34800
2021-12-08,0.0,22600
2021-12-09,0.0,62700
2021-12-10,0.0,7000
2021-12-13,0.0,18200
2021-12-14,0.0,5500
2021-12-16,0.0,11100
2021-12-17,0.0,100
2021-12-20,0.0,10500
2021-12-21,0.0,2300
2021-12-22,0.0,6900
2021-12-23,0.0,2500
2021-12-27,0.0,3500
2021-12-28,0.0,5300
2021-12-29,0.0,8200
2021-12-30,0.0,1000
2021-12-31,0.0,41600
2022-01-03,0.0,9600
2022-01-04,0.0,23300
2022-01-05,0.0,6700
2022-01-06,0.0,900
2022-01-07,0.0,7000
2022-01-10,0.0,1900
2022-01-11,0.0,5300
2022-01-12,0.0,11600
2022-01-13,0.0,11500
2022-01-14,0.0,6200
2022-01-18,0.0,8600
2022-01-19,0.0,1000
2022-01-20,0.0,4600
2022-01-21,0.0,2100
2022-01-24,0.0,8500
2022-01-25,0.0,2200
2022-01-26,0.0,4000
2022-01-27,0.0,1500
2022-01-28,0.0,4900
2022-01-31,0.0,57900
2022-02-01,0.0,9200
2022-02-02,0.0,26900
2022-02-03,0.0,300
2022-02-04,0.0,12600
2022-02-07,0.0,37500
2022-02-08,0.0,16700
2022-02-09,0.0,1600
2022-02-10,0.0,18800
2022-02-11,0.0,13200
2022-02-14,0.0,21400
2022-02-15,0.0,6500
2022-02-16,0.0,1000
2022-02-17,0.0,1000
2022-02-18,0.0,12800
2022-02-22,0.0,13600
2022-02-23,0.0,280400
2022-02-24,0.0,9800
2022-02-25,0.0,7000
2022-02-28,0.0,2800
2022-03-01,0.0,1300
2022-03-02,0.0,225900
2022-03-03,0.0,18000
2022-03-04,0.0,42000
2022-03-07,0.0,15600
2022-03-08,0.0,5100
2022-03-09,0.0,10000
2022-03-10,0.0,17100
2022-03-11,0.0,27400
2022-03-14,0.0,26200
2022-03-15,0.0,11000
2022-03-16,0.0,8500
2022-03-18,0.0,4900
2022-03-21,0.0,4800
2022-03-22,0.0,99300
2022-03-23,0.0,52000
2022-03-24,0.0,12700
2022-03-25,0.0,19200
2022-03-28,0.0,2300
2022-03-29,0.0,1600
2022-03-30,0.0,39700
2022-03-31,0.0,17700
2022-04-01,0.0,6700
2022-04-04,0.0,2000
2022-04-05,0.0,21100
2022-04-06,0.0,16300
2022-04-07,0.0,34500
2022-04-08,0.0,5200
2022-04-11,0.0,47000
2022-04-12,0.0,2300
2022-04-13,0.0,40500
2022-04-14,0.0,29200
2022-04-18,0.0,21000
2022-04-19,0.0,53800
2022-04-20,0.0,18700
2022-04-21,0.0,43700
2022-04-22,0.0,17500
2022-04-25,0.0,45900
2022-04-26,0.0,4400
2022-04-27,0.0,2000
2022-04-28,0.0,2800
2022-04-29,0.0,3300
2022-05-02,0.0,53000
2022-05-03,0.0,36800
2022-05-04,0.0,6500
2022-05-05,0.0,3200
2022-05-06,0.0,200
2022-05-09,0.0,9100
2022-05-10,0.0,15500
2022-05-11,0.0,12400
2022-05-12,0.0,1100
2022-05-13,0.0,100
2022-05-16,0.0,50400
2022-05-17,0.0,3500
2022-05-18,0.0,12700
2022-05-19,0.0,72800
2022-05-20,0.0,19500
2022-05-23,0.0,16200
2022-05-24,0.0,21600
2022-05-25,0.0,11300
2022-05-26,0.0,4400
2022-05-27,0.0,25700
2022-05-31,0.0,20800
2022-06-01,0.0,13700
2022-06-02,0.0,3700
2022-06-03,0.0,8600
2022-06-06,0.0,1600
2022-06-07,0.0,10900
2022-06-08,0.0,9800
2022-06-09,0.0,4100
2022-06-10,0.0,26300
2022-06-13,0.0,57600
2022-06-14,0.0,48000
2022-06-16,0.0,80500
2022-06-17,0.0,48300
2022-06-21,0.0,9300
2022-06-22,0.0,11000
2022-06-23,0.0,8500
2022-06-24,0.0,3300
2022-06-27,0.0,7600
2022-06-28,0.0,5800
2022-06-29,0.0,4500
2022-06-30,0.0,14400
2022-07-01,0.0,27500
2022-07-05,0.0,7900
2022-07-06,0.0,4000
2022-07-07,0.0,4700
2022-07-08,0.0,3500
2022-07-11,0.0,2800
2022-07-12,0.0,5400
2022-07-13,0.0,2600
2022-07-14,0.0,200
2022-07-15,0.0,21100
2022-07-18,0.0,1100
2022-07-19,0.0,1400
2022-07-20,0.0,24400
2022-07-21,0.0,36100
2022-07-22,0.0,5200
2022-07-25,0.0,4300
2022-07-26,0.0,13100
2022-07-28,0.0,72500
2022-07-29,0.0,72800
2022-08-01,0.0,15600
2022-08-02,0.0,6600
2022-08-03,0.0,50100
2022-08-04,0.0,25600
2022-08-05,0.0,15800
2022-08-08,0.0,34600
2022-08-09,0.0,7100
2022-08-10,0.0,36000
2022-08-11,0.0,36100
2022-08-12,0.0,19800
2022-08-15,0.0,21800
2022-08-16,0.0,77300
2022-08-17,0.0,7300
2022-08-18,0.0,62500
2022-08-19,0.0,14800
2022-08-22,0.0,162000
2022-08-23,0.0,44300
2022-08-24,0.0,69200
2022-08-25,0.0,7500
2022-08-26,0.0,58700
2022-08-29,0.0,12200
2022-08-30,0.0,18700
2022-08-31,0.0,10400
2022-09-01,0.0,65800
2022-09-02,0.0,2600
2022-09-06,0.0,8000
2022-09-07,0.0,8800
2022-09-08,0.0,6000
2022-09-09,0.0,7200
2022-09-12,0.0,2200
2022-09-13,0.0,285600
2022-09-14,0.0,73500
2022-09-16,0.0,7600
2022-09-19,0.0,4800
2022-09-20,0.0,31200
2022-09-22,0.0,3500
2022-09-23,0.0,9800
2022-09-26,0.0,76700
2022-09-27,0.0,6800
2022-09-28,0.0,32600
2022-09-29,0.0,13200
2022-09-30,0.0,10900
2022-10-03,0.0,9300
2022-10-04,0.0,2100
2022-10-05,0.0,40300
2022-10-07,0.0,7600
2022-10-10,0.0,3100
2022-10-11,0.0,3700
2022-10-12,0.0,1600
2022-10-14,0.0,1000
2022-10-17,0.0,5200
2022-10-18,0.0,4500
2022-10-19,0.0,1200
2022-10-20,0.0,10500
2022-10-21,0.0,27500
2022-10-24,0.0,200
2022-10-25,0.0,13000
2022-10-26,0.0,5100
2022-10-27,0.0,2700
2022-10-28,0.0,1500
2022-10-31,0.0,2500
2022-11-01,0.0,12000
2022-11-02,0.0,1000
2022-11-03,0.0,7800
2022-11-04,0.0,1000
2022-11-07,0.0,9800
2022-11-08,0.0,1100
2022-11-09,0.0,12100
2022-11-10,0.0,3900
2022-11-11,0.0,15700
2022-11-14,0.0,17400
2022-11-16,0.0,7100
2022-11-17,0.0,8100
2022-11-18,0.0,1500
2022-11-21,0.0,8900
2022-11-22,0.0,700
2022-11-23,0.0,1000
2022-11-28,0.0,1500
2022-11-29,0.0,2000
2022-11-30,0.0,1900
2022-12-01,0.0,12000
2022-12-05,0.0,14200
2022-12-06,0.0,42500
2022-12-07,0.0,5000
2022-12-08,0.0,32500
2022-12-12,0.0,2600
2022-12-13,0.0,15800
2022-12-15,0.0,12800
2022-12-16,0.0,53600
2022-12-19,0.0,600
2022-12-21,0.0,35800
2022-12-22,0.0,22800
2022-12-23,0.0,600
2022-12-27,0.0,5200
2022-12-29,0.0,17100
2022-12-30,0.0,6400
2023-01-03,0.0,3500
2023-01-04,0.0,90500
2023-01-05,0.0,13900
2023-01-06,0.0,17100
2023-01-09,0.0,3800
2023-01-11,0.0,1600
2023-01-12,0.0,2600
2023-01-13,0.0,500
2023-01-17,0.0,2600
2023-01-18,0.0,3300
2023-01-19,0.0,4800
2023-01-20,0.0,11500
2023-01-23,0.0,10000
2023-01-24,0.0,3900
2023-01-25,0.0,500
2023-01-26,0.0,1000
2023-01-27,0.0,11100
2023-01-30,0.0,108000
2023-01-31,0.0,32800
2023-02-01,0.0,1700
2023-02-02,0.0,8200
2023-02-03,0.0,5500
2023-02-06,0.0,8100
2023-02-07,0.0,34600
2023-02-08,0.0,3900
2023-02-09,0.0,42500
2023-02-10,0.0,4100
2023-02-13,0.0,24800
2023-02-14,0.0,18600
2023-02-15,0.0,22300
2023-02-16,0.0,79100
2023-02-17,0.0,10400
2023-02-21,0.0,64000
2023-02-22,0.0,16000
2023-02-23,0.0,32900
