Price,Close,Volume
Ticker,FGSM,FGSM
Date,,
2024-12-20,24.744731903076172,10100
2024-12-23,24.95821189880371,1826900
2024-12-24,24.95624351501465,174300
2024-12-26,25.092985153198242,7000
2024-12-27,24.884428024291992,36300
2024-12-30,24.81556510925293,14400
2024-12-31,24.803756713867188,1900
2025-01-02,24.778181076049805,1300
2025-01-03,25.003463745117188,104800
2025-01-06,25.04281234741211,2700
2025-01-07,24.841140747070312,19100
2025-01-08,24.772275924682617,3400
2025-01-10,24.373849868774414,5400
2025-01-13,24.419103622436523,347200
2025-01-14,24.656190872192383,7100
2025-01-15,25.04576301574707,28100
2025-01-16,25.096921920776367,23800
2025-01-17,25.209070205688477,10400
2025-01-21,25.65668487548828,8300
2025-01-22,25.507152557373047,4900
2025-01-23,25.54256820678711,1100
2025-01-24,25.553390502929688,10700
2025-01-27,25.39008331298828,6300
2025-01-28,25.425498962402344,3300
2025-01-29,25.396970748901367,4900
2025-01-30,25.679311752319336,53500
2025-01-31,25.4471435546875,5000
2025-02-03,25.136272430419922,7600
2025-02-04,25.422548294067383,11500
2025-02-05,25.65176773071289,1100
2025-02-06,25.66259002685547,3900
2025-02-07,25.440258026123047,253900
2025-02-10,25.524858474731445,3700
2025-02-11,25.516990661621094,1100
2025-02-12,25.375328063964844,1800
2025-02-13,25.679311752319336,4000
2025-02-14,25.711776733398438,2000
2025-02-18,25.847537994384766,1600
2025-02-19,25.673410415649414,3100
2025-02-20,25.55634117126465,8300
2025-02-21,25.051668167114258,3200
2025-02-24,24.995594024658203,1400
2025-02-25,25.000511169433594,8500
2025-02-26,24.9808349609375,900
2025-02-27,24.705381393432617,2500
2025-02-28,24.777196884155273,12800
2025-03-03,24.50665855407715,2900
2025-03-04,24.28826332092285,4800
2025-03-05,24.7142333984375,800
2025-03-06,24.45255470275879,2900
2025-03-07,24.702428817749023,2300
2025-03-10,24.127906799316406,10700
2025-03-11,24.083641052246094,2600
2025-03-12,24.12299156188965,9600
2025-03-13,23.826875686645508,1400
2025-03-14,24.39352798461914,6100
2025-03-17,24.682754516601562,3000
2025-03-18,24.593233108520508,1600
2025-03-19,24.826385498046875,700
2025-03-20,24.670949935913086,13100
2025-03-21,24.512563705444336,34500
2025-03-24,24.8647518157959,1400
2025-03-25,24.856882095336914,31100
2025-03-26,24.708332061767578,2600
2025-03-27,24.66209602355957,1100
2025-03-28,24.28328514099121,3300
2025-03-31,24.221296310424805,35400
2025-04-01,24.254749298095703,1400
