Price,Close,Volume
Ticker,JEPQ,JEPQ
Date,,
2022-05-04,33.48516845703125,13500
2022-05-05,32.68891143798828,48500
2022-05-06,32.24982452392578,10800
2022-05-09,31.273351669311523,21700
2022-05-10,31.498138427734375,9800
2022-05-11,30.72942352294922,27000
2022-05-12,30.59638214111328,30400
2022-05-13,31.65345573425293,21200
2022-05-16,31.4896240234375,27200
2022-05-17,32.072235107421875,22600
2022-05-18,30.8015079498291,26000
2022-05-19,30.59834861755371,30500
2022-05-20,30.526268005371094,20800
2022-05-23,30.88736343383789,109900
2022-05-24,30.441062927246094,19600
2022-05-25,30.80805778503418,44400
2022-05-26,31.49224281311035,17700
2022-05-27,32.2524528503418,30500
2022-05-31,32.23540496826172,27100
2022-06-01,32.01484298706055,38000
2022-06-02,32.74457931518555,28800
2022-06-03,32.121826171875,198700
2022-06-06,32.2605094909668,125600
2022-06-07,32.438812255859375,83900
2022-06-08,32.24070739746094,66400
2022-06-09,31.639728546142578,83200
2022-06-10,30.76801109313965,91900
2022-06-13,29.51324462890625,137600
2022-06-14,29.51324462890625,149900
2022-06-15,30.173648834228516,79100
2022-06-16,29.097200393676758,64600
2022-06-17,29.348155975341797,42500
2022-06-21,30.02836036682129,28300
2022-06-22,29.968935012817383,234300
2022-06-23,30.239700317382812,59000
2022-06-24,31.131227493286133,150800
2022-06-27,30.97933006286621,72600
2022-06-28,30.292516708374023,163300
2022-06-29,30.365175247192383,208000
2022-06-30,30.21986961364746,169200
2022-07-01,30.19991111755371,209100
2022-07-05,30.64569664001465,286500
2022-07-06,30.765466690063477,221500
2022-07-07,31.21788787841797,397700
2022-07-08,31.231191635131836,387700
2022-07-11,30.92514419555664,154400
2022-07-12,30.678955078125,424300
2022-07-13,30.64569664001465,145800
2022-07-14,30.772109985351562,163100
2022-07-15,31.144704818725586,113500
2022-07-18,31.111446380615234,122200
2022-07-19,31.643714904785156,208000
2022-07-20,31.876583099365234,139300
2022-07-21,32.06952667236328,142600
2022-07-22,31.690284729003906,232500
2022-07-25,31.80340003967285,142200
2022-07-26,31.48403549194336,111900
2022-07-27,32.302398681640625,164100
2022-07-28,32.38223648071289,286100
2022-07-29,32.70161437988281,783700
2022-08-01,32.63921356201172,259600
2022-08-02,32.57883834838867,113100
2022-08-03,32.88074493408203,258000
2022-08-04,32.86061096191406,157500
2022-08-05,32.75325393676758,166700
2022-08-08,32.81364059448242,111300
2022-08-09,32.66604995727539,131200
2022-08-10,33.10212707519531,177500
2022-08-11,33.041744232177734,666200
2022-08-12,33.39731979370117,533300
2022-08-15,33.477840423583984,273300
2022-08-16,33.43757629394531,262900
2022-08-17,33.28327560424805,236300
2022-08-18,33.377197265625,547700
2022-08-19,33.041744232177734,221700
2022-08-22,32.45136260986328,223100
2022-08-23,32.42452621459961,351900
2022-08-24,32.50503921508789,369800
2022-08-25,32.95454406738281,178800
2022-08-26,31.91463851928711,467800
2022-08-29,31.5523624420166,271000
2022-08-30,31.1967830657959,438400
2022-08-31,31.022350311279297,227700
2022-09-01,30.98569107055664,322800
2022-09-02,30.619056701660156,232900
2022-09-06,30.490074157714844,290800
2022-09-07,31.026424407958984,523700
2022-09-08,31.168991088867188,280700
2022-09-09,31.80717658996582,299800
2022-09-12,32.11268615722656,280000
2022-09-13,30.625869750976562,663700
2022-09-14,30.822755813598633,276100
2022-09-15,30.401832580566406,420000
2022-09-16,30.211729049682617,357000
2022-09-19,30.4832820892334,270100
2022-09-20,30.22530746459961,282400
2022-09-21,29.777210235595703,348900
2022-09-22,29.43775749206543,405300
2022-09-23,29.030414581298828,372600
2022-09-26,28.955724716186523,303600
2022-09-27,28.93536949157715,2981900
2022-09-28,29.47170639038086,398100
2022-09-29,28.752052307128906,383900
2022-09-30,28.276817321777344,419800
2022-10-03,28.96882438659668,321300
2022-10-04,29.660837173461914,247300
2022-10-05,29.695096969604492,178900
2022-10-06,29.489561080932617,348300
2022-10-07,28.605703353881836,378600
2022-10-10,28.331626892089844,322800
2022-10-11,27.96164321899414,288000
2022-10-12,27.944507598876953,182200
2022-10-13,28.54402732849121,595100
2022-10-14,27.852014541625977,212500
2022-10-17,28.619396209716797,748200
2022-10-18,28.831798553466797,200600
2022-10-19,28.77698516845703,141500
2022-10-20,28.674209594726562,195800
2022-10-21,29.21549415588379,118300
2022-10-24,29.489561080932617,399500
2022-10-25,29.921205520629883,285700
2022-10-26,29.46900177001953,382700
2022-10-27,29.105850219726562,321600
2022-10-28,29.688257217407227,427000
2022-10-31,29.54438018798828,382900
2022-11-01,29.301408767700195,403200
2022-11-02,28.54955291748047,424900
2022-11-03,28.0692081451416,429100
2022-11-04,28.424243927001953,677200
2022-11-07,28.709671020507812,400100
2022-11-08,28.883710861206055,916500
2022-11-09,28.35464096069336,564200
2022-11-10,29.914031982421875,1023200
2022-11-11,30.227298736572266,552200
2022-11-14,30.129852294921875,444900
2022-11-15,30.38046646118164,1102400
2022-11-16,30.2064151763916,610200
2022-11-17,30.227298736572266,687900
2022-11-18,30.317800521850586,305300
2022-11-21,30.2064151763916,431500
2022-11-22,30.53360939025879,391200
2022-11-23,30.700693130493164,425200
2022-11-25,30.665891647338867,288400
2022-11-28,30.436153411865234,573300
2022-11-29,30.27604103088379,802300
2022-11-30,31.06269645690918,831600
2022-12-01,31.052831649780273,482600
2022-12-02,30.975299835205078,453500
2022-12-05,30.792064666748047,1053200
2022-12-06,30.390336990356445,796800
2022-12-07,30.30576515197754,495800
2022-12-08,30.566524505615234,282000
2022-12-09,30.411468505859375,266400
2022-12-12,30.813201904296875,924800
2022-12-13,31.003501892089844,791500
2022-12-14,30.890737533569336,525900
2022-12-15,29.974510192871094,893600
2022-12-16,29.727827072143555,493600
2022-12-19,29.354293823242188,505800
2022-12-20,29.361347198486328,439700
2022-12-21,29.784215927124023,422300
2022-12-22,29.086475372314453,844300
2022-12-23,29.14286231994629,449700
2022-12-27,28.889142990112305,710400
2022-12-28,28.54380226135254,753000
2022-12-29,29.205842971801758,583700
2022-12-30,29.17009735107422,779600
2023-01-03,29.07715606689453,513300
2023-01-04,29.17009735107422,708700
2023-01-05,28.776880264282227,752200
2023-01-06,29.305938720703125,964500
2023-01-09,29.513267517089844,728900
2023-01-10,29.67054557800293,524400
2023-01-11,29.999435424804688,794000
2023-01-12,30.128135681152344,1033900
2023-01-13,30.36406707763672,551700
2023-01-17,30.442712783813477,1052100
2023-01-18,30.235370635986328,980300
2023-01-19,30.099533081054688,571600
2023-01-20,30.542802810668945,911300
2023-01-23,30.79303550720215,1016900
2023-01-24,30.72869110107422,1330600
2023-01-25,30.692941665649414,872700
2023-01-26,30.87882423400879,1325700
2023-01-27,30.978927612304688,1249100
2023-01-30,30.671489715576172,1075400
2023-01-31,30.993221282958984,753000
2023-02-01,31.19618797302246,1303800
2023-02-02,31.383989334106445,1341900
2023-02-03,31.18174934387207,1305300
2023-02-06,31.13840103149414,676700
2023-02-07,31.347871780395508,725200
2023-02-08,31.123964309692383,871100
2023-02-09,31.0228271484375,866500
2023-02-10,30.943389892578125,874000
2023-02-13,31.17452621459961,679000
2023-02-14,31.405662536621094,698500
2023-02-15,31.528453826904297,825400
2023-02-16,31.23952865600586,858400
2023-02-17,31.145633697509766,958700
2023-02-21,30.690584182739258,934800
2023-02-22,30.726699829101562,726600
2023-02-23,30.943389892578125,947800
2023-02-24,30.54611587524414,1093900
2023-02-27,30.77726936340332,1036000
2023-02-28,30.762807846069336,1108200
2023-03-01,30.546092987060547,1092100
2023-03-02,30.772296905517578,914400
2023-03-03,31.232019424438477,1239800
2023-03-06,31.253921508789062,1121000
2023-03-07,31.005807876586914,1729200
2023-03-08,31.122562408447266,915600
2023-03-09,30.70662498474121,1536300
2023-03-10,30.30527114868164,1699300
2023-03-13,30.58256721496582,1450200
2023-03-14,31.122562408447266,1752600
2023-03-15,31.261211395263672,1397400
2023-03-16,31.82309341430664,1420800
2023-03-17,31.742826461791992,1149900
2023-03-20,31.815797805786133,877600
2023-03-21,32.14418411254883,831400
2023-03-22,32.005523681640625,1234300
2023-03-23,32.19525909423828,1272800
2023-03-24,32.30470275878906,840100
2023-03-27,32.25363540649414,862500
2023-03-28,32.246337890625,752300
2023-03-29,32.54551696777344,797900
2023-03-30,32.63308334350586,1201400
2023-03-31,32.9030876159668,1366300
2023-04-03,32.83231735229492,967700
2023-04-04,32.84705352783203,994600
2023-04-05,32.78071212768555,960000
2023-04-06,32.876548767089844,1009500
2023-04-10,32.876548767089844,1176000
2023-04-11,32.82494354248047,961200
2023-04-12,32.729103088378906,923400
2023-04-13,33.07558059692383,828200
2023-04-14,33.09768295288086,620800
2023-04-17,33.1492919921875,727900
2023-04-18,33.18614196777344,699500
2023-04-19,33.22300338745117,729800
2023-04-20,33.07558059692383,1056100
2023-04-21,33.1124382019043,712000
2023-04-24,33.10505294799805,1380400
2023-04-25,32.53009033203125,1523700
2023-04-26,32.802833557128906,1278700
2023-04-27,33.53997039794922,1648000
2023-04-28,33.73899459838867,1923200
2023-05-01,33.771785736083984,1692100
2023-05-02,33.592979431152344,1502700
2023-05-03,33.496116638183594,919100
2023-05-04,33.362022399902344,995200
2023-05-05,33.853736877441406,1248400
2023-05-08,33.99528503417969,1352000
2023-05-09,33.86119079589844,852500
2023-05-10,34.166656494140625,1318600
2023-05-11,34.27094650268555,1254600
2023-05-12,34.211341857910156,1254900
2023-05-15,34.323089599609375,1511800
2023-05-16,34.375244140625,1525900
2023-05-17,34.65090560913086,1518800
2023-05-18,34.896766662597656,3523500
2023-05-19,34.822269439697266,1548700
2023-05-22,34.866966247558594,1451900
2023-05-23,34.70306396484375,1480200
2023-05-24,34.62110900878906,1194400
2023-05-25,35.045772552490234,2852600
2023-05-26,35.26927947998047,2830400
2023-05-30,35.25437545776367,3490400
2023-05-31,35.20221710205078,2277200
2023-06-01,35.3200798034668,1343300
2023-06-02,35.41016387939453,1694000
2023-06-05,35.47022247314453,2361100
2023-06-06,35.492740631103516,2080300
2023-06-07,35.26753616333008,1766100
2023-06-08,35.44019317626953,1188700
2023-06-09,35.500247955322266,1685100
2023-06-12,35.71794128417969,1746400
2023-06-13,35.75547790527344,1373500
2023-06-14,35.80803680419922,1074500
2023-06-15,35.88310241699219,1751200
2023-06-16,35.80803680419922,1455200
2023-06-20,35.89811706542969,1324800
2023-06-21,35.79301834106445,3899800
2023-06-22,35.98819351196289,1533700
2023-06-23,35.8605842590332,1872600
2023-06-26,35.62034606933594,1482900
2023-06-27,35.93564987182617,2110100
2023-06-28,35.958168029785156,2281000
2023-06-29,35.980690002441406,2239600
2023-06-30,36.31098556518555,2248100
2023-07-03,36.323848724365234,1172500
2023-07-05,36.38436508178711,1456400
2023-07-06,36.255775451660156,1625900
2023-07-07,36.21795654296875,1306800
2023-07-10,36.18013381958008,1813600
2023-07-11,36.2935905456543,1494800
2023-07-12,36.5810432434082,1660600
2023-07-13,36.85334777832031,1561200
2023-07-14,36.898746490478516,1589300
2023-07-17,37.072731018066406,1407200
2023-07-18,37.23157501220703,1766500
2023-07-19,37.20888137817383,1806000
2023-07-20,36.860923767089844,1940800
2023-07-21,36.8079719543457,1467100
2023-07-24,36.845794677734375,6446700
2023-07-25,37.05003356933594,1406300
2023-07-26,37.027339935302734,1469200
2023-07-27,37.012203216552734,2344200
2023-07-28,37.360164642333984,1963000
2023-07-31,37.39043045043945,2311300
2023-08-01,37.372135162353516,1450900
2023-08-02,36.93013381958008,2319100
2023-08-03,36.86153793334961,2084300
2023-08-04,36.838680267333984,1537900
2023-08-07,37.14351272583008,1240900
2023-08-08,36.892024993896484,2295300
2023-08-09,36.55671310424805,1599100
2023-08-10,36.61768341064453,1542800
2023-08-11,36.44240188598633,1683300
2023-08-14,36.82343673706055,1601600
2023-08-15,36.5262336730957,1346400
2023-08-16,36.1528205871582,1878800
2023-08-17,35.80988693237305,1707900
2023-08-18,35.764156341552734,1751200
2023-08-21,36.27474594116211,1558000
2023-08-22,36.23664093017578,1500700
2023-08-23,36.7243766784668,1843500
2023-08-24,36.03851318359375,2093800
2023-08-25,36.33571243286133,2044400
2023-08-28,36.5262336730957,1839100
2023-08-29,37.09016418457031,2466500
2023-08-30,37.25782012939453,2457300
2023-08-31,37.34164810180664,2012500
2023-09-01,37.34241485595703,1948800
2023-09-05,37.38088607788086,1648900
2023-09-06,37.20397186279297,1905400
2023-09-07,37.07320785522461,1680200
2023-09-08,37.09629821777344,1736600
2023-09-11,37.403953552246094,1892400
2023-09-12,37.134742736816406,1265700
2023-09-13,37.2808952331543,1563000
2023-09-14,37.47317123413086,1739700
2023-09-15,37.08090591430664,1890500
2023-09-18,37.14244842529297,1449000
2023-09-19,37.10398864746094,1764300
2023-09-20,36.68864440917969,1671300
2023-09-21,36.05792236328125,2821400
2023-09-22,36.08100509643555,1630200
2023-09-25,36.22714614868164,1529200
2023-09-26,35.74258041381836,3113700
2023-09-27,35.796417236328125,1867800
2023-09-28,36.07332229614258,2146000
2023-09-29,36.09638214111328,2891400
2023-10-02,36.350162506103516,2562400
2023-10-03,35.7603645324707,2965600
2023-10-04,36.179420471191406,2124200
2023-10-05,36.117347717285156,1913300
2023-10-06,36.57521057128906,2986900
2023-10-09,36.70713806152344,1768300
2023-10-10,36.86234664916992,1923000
2023-10-11,37.04860305786133,1882600
2023-10-12,36.97099685668945,2279700
2023-10-13,36.67609405517578,2337200
2023-10-16,36.97099685668945,1764900
2023-10-17,36.939945220947266,1917900
2023-10-18,36.57521057128906,2233900
2023-10-19,36.38119888305664,1975500
2023-10-20,35.94660568237305,2189700
2023-10-23,36.07854461669922,2584600
2023-10-24,36.40447998046875,2286300
2023-10-25,35.636192321777344,3481900
2023-10-26,34.99983215332031,4184900
2023-10-27,35.20161819458008,3223000
2023-10-30,35.620670318603516,3754500
2023-10-31,35.822444915771484,2941100
2023-11-01,36.40823745727539,3274300
2023-11-02,36.91727828979492,2791800
2023-11-03,37.21487045288086,3026600
2023-11-06,37.39499282836914,2056100
2023-11-07,37.5672721862793,2623700
2023-11-08,37.684757232666016,2836700
2023-11-09,37.504634857177734,3206300
2023-11-10,37.99018096923828,2556000
2023-11-13,37.99800491333008,1950400
2023-11-14,38.27210235595703,3016700
2023-11-15,38.256446838378906,2787200
2023-11-16,38.31909942626953,1927300
2023-11-17,38.35041046142578,2357900
2023-11-20,38.4678955078125,2936200
2023-11-21,38.45222473144531,2243200
2023-11-22,38.569698333740234,2363400
2023-11-24,38.55404281616211,1052000
2023-11-27,38.58537292480469,2854600
2023-11-28,38.66368103027344,2569500
2023-11-29,38.62453079223633,5444000
2023-11-30,38.593196868896484,3393200
2023-12-01,38.62636947631836,3093200
2023-12-04,38.452598571777344,2323400
2023-12-05,38.53158187866211,1727300
2023-12-06,38.38150405883789,1935300
2023-12-07,38.79226303100586,2521300
2023-12-08,38.91074752807617,2265200
2023-12-11,39.068721771240234,2617000
2023-12-12,39.25040817260742,2232700
2023-12-13,39.45578384399414,2862200
2023-12-14,39.41627883911133,3574900
2023-12-15,39.495262145996094,2569300
2023-12-18,39.59795379638672,2805900
2023-12-19,39.62955093383789,2359000
2023-12-20,39.400489807128906,3184700
2023-12-21,39.605857849121094,2177300
2023-12-22,39.62165451049805,2434100
2023-12-26,39.6927375793457,2306300
2023-12-27,39.748043060302734,2515000
2023-12-28,39.78943634033203,2857600
2023-12-29,39.749637603759766,2277100
2024-01-02,39.463035583496094,3137400
2024-01-03,39.18440246582031,2316600
2024-01-04,39.025177001953125,2790100
2024-01-05,39.1286735534668,2798000
2024-01-08,39.725746154785156,2124500
2024-01-09,39.81332015991211,1954900
2024-01-10,40.07603073120117,2263400
2024-01-11,40.15565872192383,3065200
2024-01-12,40.195457458496094,1675200
2024-01-16,40.267112731933594,2417600
