Price,Close,Volume
Ticker,KRFG,KRFG
Date,,
2021-03-22,12.0,40
2021-03-23,10.0,27
2021-03-24,11.0,71
2021-03-25,9.0,220
2021-03-26,10.0,82
2021-03-29,10.0,1
2021-03-30,10.0,30
2021-03-31,12.0,43
2021-04-01,11.0,12
2021-04-05,11.0,196
2021-04-06,10.0,119
2021-04-07,10.0,26
2021-04-08,10.0,0
2021-04-09,11.0,17
2021-04-12,11.0,69
2021-04-13,10.0,167
2021-04-14,10.0,0
2021-04-15,8.0,146
2021-04-16,7.0,1146
2021-04-19,7.0,214
2021-04-20,11.0,107
2021-04-21,11.0,2
2021-04-22,11.0,5
2021-04-23,11.0,0
2021-04-26,11.0,41
2021-04-27,9.0,82
2021-04-28,8.0,16
2021-04-29,18.0,8308
2021-04-30,22.0,12014
2021-05-03,16.0,2355
2021-05-04,12.0,1613
2021-05-05,16.0,824
2021-05-06,30.0,29526
2021-05-07,25.0,5245
2021-05-10,23.0,1930
2021-05-11,22.0,1425
2021-05-12,20.0,2172
2021-05-13,20.0,1932
2021-05-14,19.0,1502
2021-05-17,31.0,4888
2021-05-18,39.0,12547
2021-05-19,40.0,3834
2021-05-20,35.0,2690
2021-05-21,39.0,1105
2021-05-24,39.0,7238
2021-05-25,40.0,964
2021-05-26,40.0,449
2021-05-27,56.0,6337
2021-05-28,51.0,4773
2021-06-01,45.0,3629
2021-06-02,44.0,1894
2021-06-03,44.0,1122
2021-06-04,45.0,560
2021-06-07,40.0,740
2021-06-08,42.0,1471
2021-06-09,42.0,2045
2021-06-10,50.0,2643
2021-06-11,49.0,1242
2021-06-14,60.0,9173
2021-06-15,64.0,3285
2021-06-16,63.0,1427
2021-06-17,65.0,1140
2021-06-18,62.0,1557
2021-06-21,88.0,16727
2021-06-22,88.0,3812
2021-06-23,117.0,5071
2021-06-24,125.0,6637
2021-06-25,121.0,3078
2021-06-28,138.0,4732
2021-06-29,140.0,3596
2021-06-30,138.0,2348
2021-07-01,142.0,1460
2021-07-02,144.10000610351562,1467
2021-07-06,143.89999389648438,1289
2021-07-07,140.0,959
2021-07-08,200.0,14534
2021-07-09,197.0,2730
2021-07-12,225.0,3778
2021-07-13,331.0,9101
2021-07-14,305.0,5648
2021-07-15,289.5,2016
2021-07-16,275.0,1932
2021-07-19,243.3000030517578,2829
2021-07-20,260.0,1706
2021-07-21,242.5,1161
2021-07-22,241.0,1643
2021-07-23,225.0,1592
2021-07-26,207.39999389648438,1763
2021-07-27,227.0,2075
2021-07-28,217.5,717
2021-07-29,219.0,1040
2021-07-30,188.5,3391
2021-08-02,167.0,3982
2021-08-03,162.0,2332
2021-08-04,150.0,2186
2021-08-05,163.0,2364
2021-08-06,123.30000305175781,6778
2021-08-09,115.0,3767
2021-08-10,139.0,3200
2021-08-11,136.0,991
2021-08-12,126.0,954
2021-08-13,123.0,829
2021-08-16,126.0,609
2021-08-17,124.0,363
2021-08-18,119.0,886
2021-08-19,105.5,1617
2021-08-20,108.5,1233
2021-08-23,114.5,971
2021-08-24,112.5,1206
2021-08-25,107.0,975
2021-08-26,128.5,3474
2021-08-27,130.0,938
2021-08-30,115.0,926
2021-08-31,112.0,1064
2021-09-01,112.0,390
2021-09-02,120.0,1671
2021-09-03,138.0,653
2021-09-07,141.0,1012
2021-09-08,131.5,379
2021-09-09,123.0,306
2021-09-10,139.5,915
2021-09-13,140.0,335
2021-09-14,138.0,502
2021-09-15,130.5,526
2021-09-16,141.0,585
2021-09-17,133.0,1529
2021-09-20,169.0,3096
2021-09-21,187.0,2245
2021-09-22,190.0,1438
2021-09-23,212.0,1549
2021-09-24,214.5,930
2021-09-27,205.0,1061
2021-09-28,195.0,584
2021-09-29,185.0,776
2021-09-30,182.0,566
2021-10-01,179.0,1341
2021-10-04,155.0,1294
2021-10-05,147.5,1887
2021-10-06,149.0,531
2021-10-07,152.0,298
2021-10-08,152.5,516
2021-10-11,143.0,486
2021-10-12,153.0,356
2021-10-13,155.0,357
2021-10-14,173.5,885
2021-10-15,162.0,1424
2021-10-18,170.0,597
2021-10-19,158.0,718
2021-10-20,160.0,806
2021-10-21,140.0,2338
2021-10-22,138.0,1920
2021-10-25,147.0,673
2021-10-26,130.0,1221
2021-10-27,126.0,396
2021-10-28,114.0,555
2021-10-29,119.0,649
2021-11-01,120.0,478
2021-11-02,114.5,745
2021-11-03,90.0,3801
2021-11-04,88.0,1266
2021-11-05,96.0,473
