Price,Close,Volume
Ticker,NTCL,NTCL
Date,,
2024-12-13,5.0,2387800
2024-12-16,5.070000171661377,189000
2024-12-17,5.159999847412109,179100
2024-12-18,5.21999979019165,85400
2024-12-19,5.449999809265137,81100
2024-12-20,5.380000114440918,16600
2024-12-23,5.21999979019165,79500
2024-12-24,5.349999904632568,148100
2024-12-26,5.435999870300293,6500
2024-12-27,5.400000095367432,5800
2024-12-30,5.767000198364258,47700
2024-12-31,5.849999904632568,7700
2025-01-02,5.840000152587891,76600
2025-01-03,5.800000190734863,82000
2025-01-06,5.400000095367432,52300
2025-01-07,5.635000228881836,17800
2025-01-08,6.690000057220459,395800
2025-01-10,7.010000228881836,916000
2025-01-13,7.300000190734863,547700
2025-01-14,7.400000095367432,222900
2025-01-15,7.579999923706055,614000
2025-01-16,7.760000228881836,426800
2025-01-17,9.1899995803833,163000
2025-01-21,8.449999809265137,215400
2025-01-22,7.380000114440918,147100
2025-01-23,7.179999828338623,123400
2025-01-24,7.289999961853027,39900
2025-01-27,7.230000019073486,18300
2025-01-28,8.40999984741211,132800
2025-01-29,8.960000038146973,219700
2025-01-30,8.279999732971191,62800
2025-01-31,7.760000228881836,90200
2025-02-03,7.269999980926514,75400
2025-02-04,7.769999980926514,139400
2025-02-05,8.720000267028809,46000
2025-02-06,8.170000076293945,26600
2025-02-07,8.149999618530273,57900
2025-02-10,8.470000267028809,28800
2025-02-11,8.149999618530273,6100
2025-02-12,8.279999732971191,11400
2025-02-13,7.800000190734863,20300
2025-02-14,7.889999866485596,14000
2025-02-18,7.320000171661377,25600
2025-02-19,7.320000171661377,14300
2025-02-20,7.840000152587891,191300
2025-02-21,7.199999809265137,144000
2025-02-24,7.050000190734863,48800
2025-02-25,7.579999923706055,175300
2025-02-26,7.300000190734863,15500
2025-02-27,7.099999904632568,147800
2025-02-28,7.139999866485596,10000
2025-03-03,7.699999809265137,117900
2025-03-04,8.039999961853027,56800
2025-03-05,7.550000190734863,37800
2025-03-06,8.210000038146973,22500
2025-03-07,10.270000457763672,139900
2025-03-10,10.1899995803833,50200
2025-03-11,10.430000305175781,40600
2025-03-12,11.020000457763672,25800
2025-03-13,10.899999618530273,20100
2025-03-14,10.869999885559082,19500
2025-03-17,10.989999771118164,13800
2025-03-18,10.960000038146973,4000
2025-03-19,9.319999694824219,12500
2025-03-20,9.6899995803833,32900
2025-03-21,10.319999694824219,16000
2025-03-24,7.949999809265137,980200
2025-03-25,7.900000095367432,435500
2025-03-26,8.100000381469727,26600
2025-03-27,7.78000020980835,42900
2025-03-28,6.860000133514404,50300
2025-03-31,6.789999961853027,31100
2025-04-01,6.849999904632568,6400
2025-04-02,7.300000190734863,126000
2025-04-03,7.0,43800
2025-04-04,9.3100004196167,189600
2025-04-07,9.710000038146973,75200
2025-04-08,10.279999732971191,37800
2025-04-09,10.753000259399414,41700
2025-04-10,10.050000190734863,22700
2025-04-11,9.225000381469727,110200
2025-04-14,10.149999618530273,149100
2025-04-15,10.460000038146973,54800
2025-04-16,11.100000381469727,24900
2025-04-17,11.239999771118164,114500
2025-04-21,11.25,47600
2025-04-22,11.390000343322754,51900
2025-04-23,11.819999694824219,118800
2025-04-24,12.109999656677246,18500
2025-04-25,12.989999771118164,23000
2025-04-28,13.0,33400
2025-04-29,14.359999656677246,20300
2025-04-30,14.399999618530273,2749900
2025-05-01,14.8100004196167,449200
2025-05-02,17.5,547000
2025-05-05,12.569999694824219,4535800
2025-05-06,33.0,3309800
2025-05-07,32.5099983215332,2748200
2025-05-08,31.579999923706055,532400
2025-05-09,28.299999237060547,544400
2025-05-12,28.989999771118164,2337600
2025-05-13,20.270000457763672,1524700
2025-05-14,20.649999618530273,345400
2025-05-15,19.15999984741211,676500
2025-05-16,14.119999885559082,1083500
2025-05-19,13.119999885559082,401800
2025-05-20,12.8100004196167,331300
2025-05-21,8.850000381469727,577200
2025-05-22,5.210000038146973,1722100
2025-05-23,4.40500020980835,1892600
2025-05-27,3.4600000381469727,967600
2025-05-28,3.0,843500
2025-05-29,3.309999942779541,1388300
2025-05-30,3.4200000762939453,583600
2025-06-02,3.5,266600
2025-06-03,3.430000066757202,334600
2025-06-04,3.25,154200
2025-06-05,3.049999952316284,289700
2025-06-06,2.619999885559082,451000
2025-06-09,2.0999999046325684,1038400
2025-06-10,2.130000114440918,2216200
2025-06-11,2.2899999618530273,953400
2025-06-12,2.1700000762939453,625300
2025-06-13,2.180000066757202,387000
2025-06-16,2.0,376200
2025-06-17,1.8799999952316284,228600
2025-06-18,1.4700000286102295,755400
2025-06-20,1.7999999523162842,9896000
2025-06-23,1.7699999809265137,535500
2025-06-24,1.7799999713897705,425500
2025-06-25,1.7000000476837158,334900
2025-06-26,1.6799999475479126,124700
2025-06-27,1.6299999952316284,136900
2025-06-30,1.649999976158142,137900
2025-07-01,1.5800000429153442,106200
2025-07-02,1.6200000047683716,182000
2025-07-03,1.5299999713897705,80600
2025-07-07,1.4900000095367432,152100
2025-07-08,1.5099999904632568,130200
2025-07-09,1.440000057220459,155000
2025-07-10,1.440000057220459,89300
2025-07-11,1.3899999856948853,125200
2025-07-14,1.2999999523162842,202900
2025-07-15,1.2799999713897705,86200
2025-07-16,1.2999999523162842,328700
2025-07-17,1.4249999523162842,1125900
2025-07-18,1.5,263500
2025-07-21,1.850000023841858,1691300
2025-07-22,1.7899999618530273,476600
2025-07-23,1.850000023841858,438800
2025-07-24,1.850000023841858,269400
2025-07-25,1.8600000143051147,417000
2025-07-28,2.200000047683716,620800
2025-07-29,2.309999942779541,801300
2025-07-30,1.8600000143051147,223000
2025-07-31,1.8799999952316284,151900
2025-08-01,1.8700000047683716,155200
2025-08-04,1.8700000047683716,74100
2025-08-05,1.8799999952316284,68500
2025-08-06,1.899999976158142,187900
2025-08-07,1.850000023841858,105000
2025-08-08,2.0,259500
2025-08-11,2.130000114440918,1120700
2025-08-12,2.0399999618530273,139500
2025-08-13,1.9700000286102295,150800
2025-08-14,1.909999966621399,50700
2025-08-15,1.899999976158142,40200
2025-08-18,1.850000023841858,49600
2025-08-19,1.7899999618530273,80400
2025-08-20,1.7100000381469727,106400
2025-08-21,1.8799999952316284,40900
2025-08-22,1.7200000286102295,72500
2025-08-25,1.7899999618530273,45700
2025-08-26,1.7599999904632568,36700
2025-08-27,1.8049999475479126,93100
2025-08-28,1.7400000095367432,18300
2025-08-29,1.75,69600
2025-09-02,1.7799999713897705,157700
2025-09-03,1.7899999618530273,102200
2025-09-04,1.8220000267028809,58900
2025-09-05,1.7990000247955322,26700
2025-09-08,1.7000000476837158,57300
2025-09-09,1.6799999475479126,71400
2025-09-10,1.7799999713897705,82500
2025-09-11,1.690000057220459,51300
2025-09-12,1.5800000429153442,117900
2025-09-15,1.6299999952316284,139600
2025-09-16,1.6200000047683716,128700
2025-09-17,1.6200000047683716,30200
2025-09-18,1.5299999713897705,67700
2025-09-19,1.600000023841858,61200
2025-09-22,1.5499999523162842,39900
2025-09-23,1.5,43400
2025-09-24,1.600000023841858,84400
2025-09-25,1.5800000429153442,55000
2025-09-26,1.5709999799728394,44600
2025-09-29,1.5800000429153442,39000
2025-09-30,1.4600000381469727,220000
2025-10-01,1.3880000114440918,83400
2025-10-02,1.3899999856948853,40000
2025-10-03,1.3899999856948853,65800
2025-10-06,1.350000023841858,47200
2025-10-07,1.4199999570846558,54200
2025-10-08,1.3700000047683716,54200
2025-10-09,1.3700000047683716,27900
2025-10-10,1.2699999809265137,57000
2025-10-13,1.2899999618530273,41300
2025-10-14,1.2799999713897705,29800
2025-10-15,1.2699999809265137,13800
2025-10-16,1.2000000476837158,53600
2025-10-17,1.2100000381469727,37800
2025-10-20,1.1799999475479126,59700
2025-10-21,1.149999976158142,35700
2025-10-22,1.2100000381469727,66100
2025-10-23,1.1699999570846558,17500
2025-10-24,1.159999966621399,27000
2025-10-27,1.25,340700
2025-10-28,1.2400000095367432,55700
2025-10-29,1.1859999895095825,33200
2025-10-30,1.1299999952316284,32900
2025-10-31,1.159999966621399,64100
2025-11-03,1.1799999475479126,103900
2025-11-04,1.0800000429153442,24000
2025-11-05,1.0399999618530273,69000
2025-11-06,1.0800000429153442,102300
2025-11-07,1.1200000047683716,44000
2025-11-10,1.149999976158142,41400
2025-11-11,1.1100000143051147,22500
2025-11-12,1.1100000143051147,31800
2025-11-13,1.1799999475479126,385700
2025-11-14,1.1100000143051147,55800
2025-11-17,1.0700000524520874,24100
2025-11-18,1.1100000143051147,542200
2025-11-19,1.1299999952316284,70300
2025-11-20,1.1200000047683716,307800
2025-11-21,1.1299999952316284,68800
2025-11-24,1.190999984741211,67900
2025-11-25,1.190000057220459,273400
2025-11-26,1.1990000009536743,81800
2025-11-28,1.0700000524520874,122200
2025-12-01,1.0499999523162842,77900
2025-12-02,1.065000057220459,57500
2025-12-03,1.0800000429153442,67300
2025-12-04,1.090000033378601,36400
2025-12-05,1.0700000524520874,26600
2025-12-08,1.0770000219345093,96700
2025-12-09,0.9900000095367432,91000
2025-12-10,0.800000011920929,222200
2025-12-11,0.8109999895095825,3747900
2025-12-12,0.6800000071525574,296900
2025-12-15,0.949999988079071,5836500
2025-12-16,0.7289999723434448,385300
2025-12-17,0.675000011920929,130100
2025-12-18,0.699999988079071,50400
2025-12-19,0.6600000262260437,58600
2025-12-22,0.6399999856948853,75800
2025-12-23,0.6029999852180481,45600
2025-12-24,0.6000000238418579,21700
2025-12-26,0.550000011920929,59900
2025-12-29,0.4580000042915344,107300
2025-12-30,0.39500001072883606,212600
2025-12-31,0.34599998593330383,317700
2026-01-02,0.5299999713897705,53549300
2026-01-05,0.5210000276565552,1741100
2026-01-06,0.5210000276565552,337400
2026-01-07,0.5490000247955322,278100
2026-01-08,0.5040000081062317,148500
2026-01-09,0.46000000834465027,85200
2026-01-12,0.43799999356269836,98700
2026-01-13,0.41999998688697815,96400
2026-01-14,0.40700000524520874,59700
2026-01-15,0.4000000059604645,52800
2026-01-16,0.3630000054836273,3253200
2026-01-20,0.5009999871253967,43689400
2026-01-21,0.4020000100135803,1158100
2026-01-22,0.45399999618530273,567400
2026-01-23,0.4740000069141388,371100
2026-01-26,0.4230000078678131,169400
2026-01-27,0.4059999883174896,247300
2026-01-28,0.3970000147819519,83900
2026-01-29,0.41999998688697815,282300
2026-01-30,0.4000000059604645,170800
2026-02-02,0.36000001430511475,142100
2026-02-03,0.36000001430511475,163400
2026-02-04,0.3499999940395355,191600
2026-02-05,0.3880000114440918,659100
2026-02-06,0.367000013589859,85400
2026-02-09,0.3499999940395355,132100
2026-02-10,0.35100001096725464,79300
2026-02-11,0.3499999940395355,87200
2026-02-12,0.3799999952316284,39200
2026-02-13,0.3610000014305115,54200
2026-02-17,0.3100000023841858,81500
2026-02-18,0.3199999928474426,54100
2026-02-19,0.3199999928474426,29900
2026-02-20,0.30000001192092896,136900
2026-02-23,0.25,5064200
2026-02-24,0.2669999897480011,1157900
2026-02-25,0.25699999928474426,216400
2026-02-26,0.26100000739097595,75400
2026-02-27,0.2669999897480011,87300
2026-03-02,0.25999999046325684,109900
2026-03-03,0.27000001072883606,92700
2026-03-04,0.3140000104904175,2876400
2026-03-05,0.28600001335144043,429800
2026-03-06,0.28299999237060547,201400
2026-03-09,0.28200000524520874,96500
2026-03-10,0.2800000011920929,85800
2026-03-11,0.2879999876022339,149000
2026-03-12,0.2800000011920929,78700
2026-03-13,0.289000004529953,55700
2026-03-16,0.2809999883174896,75700
2026-03-17,0.28600001335144043,4976700
2026-03-18,0.28999999165534973,598000
2026-03-19,0.31700000166893005,147000
2026-03-20,0.3240000009536743,96600
2026-03-23,0.31220000982284546,43963
