Price,Close,Volume
Ticker,ONFO,ONFO
Date,,
2022-08-26,2.4000000953674316,5422400
2022-08-29,2.200000047683716,1578900
2022-08-30,1.75,1035300
2022-08-31,1.8600000143051147,711400
2022-09-01,1.7699999809265137,416500
2022-09-02,1.7960000038146973,799300
2022-09-06,1.5549999475479126,532900
2022-09-07,1.5700000524520874,401600
2022-09-08,1.5199999809265137,128300
2022-09-09,1.4700000286102295,194300
2022-09-12,1.4800000190734863,267200
2022-09-13,1.406999945640564,239100
2022-09-14,1.3949999809265137,469500
2022-09-15,1.440000057220459,190900
2022-09-16,1.3899999856948853,103900
2022-09-19,1.3799999952316284,174200
2022-09-20,1.2799999713897705,146400
2022-09-21,1.2400000095367432,169100
2022-09-22,1.190000057220459,177900
2022-09-23,1.1449999809265137,116200
2022-09-26,1.1699999570846558,101400
2022-09-27,1.1399999856948853,80600
2022-09-28,1.2000000476837158,29600
2022-09-29,1.2000000476837158,104700
2022-09-30,1.159999966621399,34600
2022-10-03,1.190000057220459,44100
2022-10-04,1.2100000381469727,22500
2022-10-05,1.2400000095367432,10600
2022-10-06,1.2400000095367432,48300
2022-10-07,1.274999976158142,345200
2022-10-10,1.2100000381469727,74800
2022-10-11,1.2400000095367432,36100
2022-10-12,1.1699999570846558,49900
2022-10-13,1.0800000429153442,113100
2022-10-14,1.0989999771118164,25800
2022-10-17,1.1720000505447388,179100
2022-10-18,1.190000057220459,78000
2022-10-19,1.1799999475479126,87000
2022-10-20,1.2699999809265137,261100
2022-10-21,1.2400000095367432,305900
2022-10-24,1.2899999618530273,173100
2022-10-25,1.2999999523162842,83000
2022-10-26,1.225000023841858,26600
2022-10-27,1.25,69500
2022-10-28,1.2000000476837158,16100
2022-10-31,1.2200000286102295,80900
2022-11-01,1.309999942779541,89100
2022-11-02,1.190000057220459,31500
2022-11-03,1.340000033378601,173600
2022-11-04,1.2899999618530273,64500
2022-11-07,1.399999976158142,79100
2022-11-08,1.399999976158142,95200
2022-11-09,1.3539999723434448,60800
2022-11-10,1.4199999570846558,60000
2022-11-11,1.3899999856948853,60100
2022-11-14,1.409999966621399,28200
2022-11-15,1.25,95300
2022-11-16,1.2799999713897705,29000
2022-11-17,1.2300000190734863,52700
2022-11-18,1.2899999618530273,24200
2022-11-21,1.309999942779541,17800
2022-11-22,1.3600000143051147,7300
2022-11-23,1.2899999618530273,48000
2022-11-25,1.3200000524520874,12200
2022-11-28,1.340000033378601,47200
2022-11-29,1.2999999523162842,33800
2022-11-30,1.3700000047683716,8200
2022-12-01,1.4199999570846558,27000
2022-12-02,1.440000057220459,68100
2022-12-05,1.4600000381469727,35000
2022-12-06,1.440000057220459,27000
2022-12-07,1.4900000095367432,14100
2022-12-08,1.4700000286102295,27300
2022-12-09,1.4800000190734863,17200
2022-12-12,1.4199999570846558,30100
2022-12-13,1.6100000143051147,107500
2022-12-14,1.7000000476837158,52700
2022-12-15,1.7300000190734863,168400
2022-12-16,1.590000033378601,326700
2022-12-19,1.4199999570846558,71700
2022-12-20,1.6100000143051147,54200
2022-12-21,1.5,56000
2022-12-22,1.440000057220459,28100
2022-12-23,1.5,19000
2022-12-27,1.590000033378601,34300
2022-12-28,1.5399999618530273,15300
2022-12-29,1.600000023841858,28200
2022-12-30,1.5199999809265137,76800
2023-01-03,1.600000023841858,14900
2023-01-04,1.6469999551773071,16900
2023-01-05,1.6200000047683716,26400
2023-01-06,1.659999966621399,26300
2023-01-09,1.75,45100
2023-01-10,1.8200000524520874,53400
2023-01-11,2.0199999809265137,100300
2023-01-12,2.0,46700
2023-01-13,1.9800000190734863,54400
2023-01-17,1.9199999570846558,42700
2023-01-18,1.850000023841858,57800
2023-01-19,1.8600000143051147,25400
2023-01-20,1.899999976158142,28000
2023-01-23,1.8899999856948853,18900
2023-01-24,1.8700000047683716,13900
2023-01-25,1.899999976158142,9100
2023-01-26,1.9500000476837158,34200
2023-01-27,1.8700000047683716,22100
2023-01-30,1.9500000476837158,28700
2023-01-31,1.9800000190734863,14400
2023-02-01,1.9700000286102295,34300
2023-02-02,1.9800000190734863,42500
2023-02-03,1.9299999475479126,13400
2023-02-06,1.9249999523162842,12700
2023-02-07,1.9299999475479126,16200
2023-02-08,1.9600000381469727,13400
2023-02-09,1.9420000314712524,2400
2023-02-10,1.8509999513626099,1400
2023-02-13,1.909999966621399,8200
2023-02-14,1.8600000143051147,11600
2023-02-15,1.8899999856948853,11100
2023-02-16,1.8899999856948853,3000
2023-02-17,1.8559999465942383,14600
2023-02-21,1.840000033378601,30500
2023-02-22,1.7999999523162842,28100
2023-02-23,1.649999976158142,47900
2023-02-24,1.659999966621399,55200
2023-02-27,1.6100000143051147,10800
2023-02-28,1.5,34100
2023-03-01,1.649999976158142,24700
2023-03-02,1.7300000190734863,2700
2023-03-03,1.7699999809265137,7500
2023-03-06,1.7599999904632568,17600
2023-03-07,1.809999942779541,4900
2023-03-08,1.75,7300
2023-03-09,1.7200000286102295,27800
2023-03-10,1.5700000524520874,12800
2023-03-13,1.5499999523162842,26500
2023-03-14,1.5800000429153442,5100
2023-03-15,1.5700000524520874,7500
2023-03-16,1.4800000190734863,6900
2023-03-17,1.559999942779541,5700
2023-03-20,1.559999942779541,2300
2023-03-21,1.5800000429153442,2700
2023-03-22,1.600000023841858,15800
2023-03-23,1.649999976158142,6800
2023-03-24,1.628000020980835,7800
2023-03-27,1.680999994277954,15300
2023-03-28,1.7799999713897705,26000
2023-03-29,1.7699999809265137,13500
2023-03-30,1.6239999532699585,25000
2023-03-31,1.600000023841858,4500
2023-04-03,1.5800000429153442,7000
