Price,Close,Volume
Ticker,OTGA,OTGA
Date,,
2025-11-03,10.029999732971191,231800
2025-11-04,10.029999732971191,131600
2025-11-05,10.050000190734863,80700
2025-11-06,10.09000015258789,85400
2025-11-07,10.0600004196167,60200
2025-11-10,10.0649995803833,349000
2025-11-11,10.0600004196167,73100
2025-11-12,10.050000190734863,171500
2025-11-13,10.050000190734863,20200
2025-11-14,10.039999961853027,13900
2025-11-17,10.039999961853027,19500
2025-11-18,10.020000457763672,47600
2025-11-19,10.039999961853027,2300
2025-11-20,10.020000457763672,130100
2025-11-21,10.029999732971191,73000
2025-11-24,10.045000076293945,38500
2025-11-25,10.050000190734863,500
2025-11-26,10.039999961853027,5300
2025-11-28,10.050000190734863,400
2025-12-01,10.03499984741211,52000
2025-12-02,10.020000457763672,72300
2025-12-03,10.015000343322754,39200
2025-12-04,10.015000343322754,47400
2025-12-05,10.015000343322754,96200
2025-12-08,10.010000228881836,25000
2025-12-09,10.020000457763672,115900
2025-12-10,10.026000022888184,13400
2025-12-11,10.0,36600
2025-12-12,10.0,50500
2025-12-15,10.0,37000
2025-12-16,10.0,48000
2025-12-17,10.006999969482422,2600
2025-12-18,10.005000114440918,6700
2025-12-19,10.010000228881836,39800
2025-12-22,9.989999771118164,107500
2025-12-23,9.989999771118164,24800
2025-12-24,9.989999771118164,0
2025-12-26,9.989999771118164,500
2025-12-29,9.994999885559082,600
2025-12-30,10.0,2800
2025-12-31,10.0,92200
2026-01-02,10.005000114440918,56300
2026-01-05,10.0,122300
2026-01-06,10.050000190734863,218100
2026-01-07,10.050000190734863,123200
2026-01-08,10.050000190734863,207800
2026-01-09,10.050000190734863,400
2026-01-12,10.050000190734863,2700
2026-01-13,10.050000190734863,100
2026-01-14,10.050000190734863,75300
2026-01-15,10.039999961853027,8600
2026-01-16,10.039999961853027,900
2026-01-20,10.039999961853027,700
2026-01-21,10.039999961853027,900
2026-01-22,10.0600004196167,1200
2026-01-23,10.050000190734863,103600
2026-01-26,10.0600004196167,100600
2026-01-27,10.069999694824219,202700
2026-01-28,10.069999694824219,20400
2026-01-29,10.079999923706055,2400
2026-01-30,10.079999923706055,1800
2026-02-02,10.074999809265137,79500
2026-02-03,10.069999694824219,65200
2026-02-04,10.069999694824219,0
2026-02-05,10.069999694824219,30000
2026-02-06,10.0600004196167,8300
2026-02-09,10.0600004196167,3400
2026-02-10,10.0649995803833,1400
2026-02-11,10.0600004196167,53700
2026-02-12,10.050000190734863,11600
2026-02-13,10.029999732971191,25800
2026-02-17,10.039999961853027,3500
2026-02-18,10.050000190734863,313400
2026-02-19,10.0600004196167,222100
2026-02-20,10.0600004196167,1200
2026-02-23,10.050000190734863,800
2026-02-24,10.050000190734863,25800
2026-02-25,10.045000076293945,156300
2026-02-26,10.050000190734863,21200
2026-02-27,10.050000190734863,15400
2026-03-02,10.0600004196167,1400
2026-03-03,10.039999961853027,1000
2026-03-04,10.0600004196167,200
2026-03-05,10.039999961853027,94800
2026-03-06,10.039999961853027,300
2026-03-09,10.050000190734863,13700
2026-03-10,10.039999961853027,1400
2026-03-11,10.050000190734863,156000
2026-03-12,10.074999809265137,100
2026-03-13,10.050000190734863,31100
2026-03-16,10.050000190734863,51400
2026-03-17,10.050000190734863,400
2026-03-18,10.050000190734863,1900
2026-03-19,10.050000190734863,200
2026-03-20,10.050000190734863,3000
2026-03-23,10.0600004196167,1129
