Price,Close,Volume
Ticker,PRKA,PRKA
Date,,
2021-03-22,44.0,428
2021-03-23,44.0,17
2021-03-24,44.0,56
2021-03-25,41.0,16
2021-03-26,44.0,32
2021-03-29,41.0,2941
2021-03-30,41.0,0
2021-03-31,44.0,111
2021-04-01,42.0,192
2021-04-05,41.0,43
2021-04-06,42.0,14
2021-04-07,40.0,29
2021-04-08,40.0,13
2021-04-09,40.0,34
2021-04-12,41.0,2144
2021-04-13,41.0,113
2021-04-14,40.0,61
2021-04-15,40.0,486
2021-04-16,40.0,115
2021-04-19,37.0,358
2021-04-20,38.0,784
2021-04-21,41.0,927
2021-04-22,38.0,211
2021-04-23,41.0,349
2021-04-26,43.0,548
2021-04-27,42.0,107
2021-04-28,41.0,13
2021-04-29,40.0,250
2021-04-30,40.0,2
2021-05-03,42.0,18
2021-05-04,41.0,644
2021-05-05,40.0,110
2021-05-06,38.0,2620
2021-05-07,41.0,236
2021-05-10,42.0,122
2021-05-11,42.0,642
2021-05-12,44.0,330
2021-05-13,46.0,1477
2021-05-14,47.0,1079
2021-05-17,47.0,436
2021-05-18,46.0,345
2021-05-19,44.0,131
2021-05-20,45.0,246
2021-05-21,44.0,8
2021-05-24,47.0,4
2021-05-25,44.0,221
2021-05-26,50.0,172
2021-05-27,48.0,74
2021-05-28,50.0,163
2021-06-01,57.0,321
2021-06-02,54.0,216
2021-06-03,60.0,593
2021-06-04,57.0,285
2021-06-07,72.0,477
2021-06-08,72.0,439
2021-06-09,68.0,105
2021-06-10,70.0,418
2021-06-11,72.0,537
2021-06-14,69.0,14
2021-06-15,68.0,20
2021-06-16,77.0,102
2021-06-17,72.0,331
2021-06-18,70.0,3
2021-06-21,71.0,256
2021-06-22,71.0,147
2021-06-23,72.0,10
2021-06-24,72.0,124
2021-06-25,81.0,312
2021-06-28,82.0,416
2021-06-29,84.0,294
2021-06-30,85.0,76
2021-07-01,77.0,326
2021-07-02,75.0,44
2021-07-06,75.0,52
2021-07-07,75.0,290
2021-07-08,72.0,35
2021-07-09,82.0,295
2021-07-12,92.0,2530
2021-07-13,93.0,401
2021-07-14,91.0,376
2021-07-15,88.0,293
2021-07-16,85.0,227
2021-07-19,86.0,219
2021-07-20,88.0,224
2021-07-21,87.0,82
2021-07-22,87.0,42
2021-07-23,88.0,120
2021-07-26,85.0,56
2021-07-27,85.0,161
2021-07-28,84.0,124
2021-07-29,83.0,30
2021-07-30,80.0,99
2021-08-02,82.0,304
2021-08-03,88.0,138
2021-08-04,86.0,60
2021-08-05,80.0,174
2021-08-06,81.0,20
2021-08-09,77.0,43
2021-08-10,88.0,27
2021-08-11,87.0,18
2021-08-12,77.0,697
2021-08-13,72.0,828
2021-08-16,67.0,660
2021-08-17,70.0,354
2021-08-18,71.0,269
2021-08-19,70.0,1658
2021-08-20,70.0,139
2021-08-23,65.0,200
2021-08-24,66.0,501
2021-08-25,64.0,192
2021-08-26,64.0,116
2021-08-27,65.0,164
2021-08-30,63.0,351
2021-08-31,64.0,192
2021-09-01,64.0,35
2021-09-02,64.0,10
2021-09-03,62.0,214
