Price,Close,Volume
Ticker,UBOT,UBOT
Date,,
2021-03-23,36.24803924560547,20700
2021-03-24,35.273380279541016,23300
2021-03-25,36.352630615234375,32500
2021-03-26,37.788482666015625,15100
2021-03-29,37.11335372924805,16500
2021-03-30,37.077213287353516,15900
2021-03-31,37.83603286743164,10100
2021-04-01,39.870941162109375,27500
2021-04-05,41.45893478393555,33300
2021-04-06,40.92644119262695,19600
2021-04-07,40.19424057006836,11200
2021-04-08,41.111854553222656,17300
2021-04-09,41.44941711425781,18100
2021-04-12,40.698219299316406,16500
2021-04-13,41.56352615356445,24300
2021-04-14,41.230712890625,12700
2021-04-15,42.419342041015625,22800
2021-04-16,43.07545471191406,22200
2021-04-19,41.85831069946289,17200
2021-04-20,40.2227668762207,17800
2021-04-21,41.48746109008789,12900
2021-04-22,41.58254623413086,19800
2021-04-23,42.12455749511719,7900
2021-04-26,42.95183181762695,17700
2021-04-27,42.295719146728516,9500
2021-04-28,42.2481803894043,12200
2021-04-29,41.43040084838867,20900
2021-04-30,40.44147491455078,16700
2021-05-03,40.20375061035156,18700
2021-05-04,38.0832633972168,35100
2021-05-05,38.76790237426758,8000
2021-05-06,39.08170700073242,5600
2021-05-07,40.16572189331055,8000
2021-05-10,38.2734375,15400
2021-05-11,37.36058807373047,31000
2021-05-12,34.35575866699219,38300
2021-05-13,35.04991149902344,19200
2021-05-14,36.856605529785156,18600
2021-05-17,35.772586822509766,9200
2021-05-18,36.18147659301758,4400
2021-05-19,35.801124572753906,8200
2021-05-20,37.11335372924805,10800
2021-05-21,37.39862060546875,7600
2021-05-24,38.1193962097168,8800
2021-05-25,38.02621078491211,10100
2021-05-26,38.51116180419922,8000
2021-05-27,39.176795959472656,14300
2021-05-28,39.90897750854492,11200
2021-06-01,40.01357650756836,8900
2021-06-02,40.32736587524414,7800
2021-06-03,40.2227668762207,4300
2021-06-04,41.499820709228516,17900
2021-06-07,41.8868293762207,8000
2021-06-08,41.50647735595703,7500
2021-06-09,40.49568176269531,11700
2021-06-10,40.935935974121094,6400
2021-06-11,41.314395904541016,5000
2021-06-14,42.115047454833984,15200
2021-06-15,41.820274353027344,9300
2021-06-16,41.8678092956543,20400
2021-06-17,41.74420166015625,11900
2021-06-18,40.346378326416016,11200
2021-06-21,41.05100631713867,19700
2021-06-22,41.21169662475586,4500
2021-06-23,41.126121520996094,7300
2021-06-24,41.94483184814453,9900
2021-06-25,42.257686614990234,16300
2021-06-28,42.491600036621094,3300
2021-06-29,42.296669006347656,2600
2021-06-30,41.58540725708008,8400
2021-07-01,41.11661148071289,6700
2021-07-02,41.30204391479492,7800
2021-07-06,41.1727180480957,15300
2021-07-07,40.6887092590332,9800
2021-07-08,39.71214294433594,16700
2021-07-09,41.135623931884766,7200
2021-07-12,41.9676628112793,3300
2021-07-13,40.935935974121094,18100
2021-07-14,39.817691802978516,6500
2021-07-15,38.853485107421875,8800
2021-07-16,37.931121826171875,12900
2021-07-19,36.352630615234375,27000
2021-07-20,37.77897644042969,17300
2021-07-21,39.01799774169922,3900
2021-07-22,38.78692626953125,10400
2021-07-23,38.92955780029297,2300
2021-07-26,38.8981819152832,5800
2021-07-27,38.16884231567383,6100
2021-07-28,39.16728210449219,8500
2021-07-29,39.66744613647461,7900
2021-07-30,39.17869567871094,3100
2021-08-02,40.15620422363281,21100
2021-08-03,40.49092483520508,4800
2021-08-04,40.14384841918945,6300
2021-08-05,41.04053497314453,6500
2021-08-06,39.953670501708984,6800
2021-08-09,40.39108657836914,5900
2021-08-10,40.24654006958008,3900
2021-08-11,41.8678092956543,13400
2021-08-12,42.181610107421875,9000
2021-08-13,42.383201599121094,6700
2021-08-16,41.41518783569336,2700
2021-08-17,40.71723556518555,5100
2021-08-18,40.744808197021484,3000
2021-08-19,40.23323059082031,11000
2021-08-20,40.546085357666016,9700
2021-08-23,43.199066162109375,23700
2021-08-24,44.929691314697266,41800
2021-08-25,44.493228912353516,6700
2021-08-26,44.23649215698242,3500
2021-08-27,45.737953186035156,13800
2021-08-30,45.33001708984375,9600
2021-08-31,45.520198822021484,9400
2021-09-01,47.02164840698242,17400
2021-09-02,47.81659698486328,7500
2021-09-03,50.07782745361328,25500
2021-09-07,50.926971435546875,24200
2021-09-08,49.95610809326172,14000
2021-09-09,51.03537368774414,10000
2021-09-10,49.80397033691406,12800
2021-09-13,50.7044563293457,9500
2021-09-14,50.1757698059082,9700
2021-09-15,51.51652145385742,9400
2021-09-16,51.20843505859375,7200
2021-09-17,51.16755676269531,9400
2021-09-20,49.01853561401367,30600
2021-09-21,50.28892135620117,18000
2021-09-22,50.28892135620117,9100
2021-09-23,52.25822830200195,17600
2021-09-24,50.682594299316406,15800
2021-09-27,49.47305679321289,13900
2021-09-28,45.8615608215332,21900
2021-09-29,45.0342903137207,16200
2021-09-30,44.72049331665039,5500
2021-10-01,43.83616638183594,32700
2021-10-04,40.52040100097656,21100
2021-10-05,41.60441970825195,8200
2021-10-06,41.46273422241211,13700
2021-10-07,42.55055236816406,4700
2021-10-08,42.0722541809082,4700
2021-10-11,41.504581451416016,5000
2021-10-12,41.95054626464844,3100
2021-10-13,43.23710250854492,4400
2021-10-14,45.81401824951172,18200
2021-10-15,47.02450180053711,9400
2021-10-18,46.48915100097656,10500
2021-10-19,47.373477935791016,10700
2021-10-20,46.61277389526367,5400
2021-10-21,46.06221008300781,16900
2021-10-22,45.95094680786133,6000
2021-10-25,46.84573745727539,4800
2021-10-26,46.20864486694336,12500
2021-10-27,44.8260498046875,14200
2021-10-28,46.83148193359375,6900
2021-10-29,47.42103958129883,16100
2021-11-01,49.299049377441406,13800
2021-11-02,49.88384246826172,16600
2021-11-03,50.621742248535156,8500
2021-11-04,52.62907409667969,28200
2021-11-05,52.446502685546875,14200
2021-11-08,52.83256149291992,20700
2021-11-09,51.66202163696289,10900
2021-11-10,47.411529541015625,33100
2021-11-11,47.839420318603516,26900
2021-11-12,49.07558822631836,14700
2021-11-15,48.15321731567383,11200
2021-11-16,48.343406677246094,13700
2021-11-17,48.36241912841797,3600
2021-11-18,48.88540267944336,9000
2021-11-19,48.66004943847656,10500
2021-11-22,46.58139419555664,13700
2021-11-23,45.53825759887695,13400
2021-11-24,45.935733795166016,10700
2021-11-26,43.72966384887695,8200
2021-11-29,45.15980911254883,11500
2021-11-30,43.73442077636719,15400
2021-12-01,41.727088928222656,13500
2021-12-02,42.780662536621094,11500
2021-12-03,41.80125045776367,12100
2021-12-06,42.04087829589844,6700
2021-12-07,45.287235260009766,12800
2021-12-08,46.05839920043945,20300
2021-12-09,43.33994674682617,6400
2021-12-10,42.970176696777344,4800
2021-12-13,41.82301330566406,8500
2021-12-14,40.3740119934082,14900
2021-12-15,42.424739837646484,5100
2021-12-16,41.121315002441406,4600
2021-12-17,40.259483337402344,16600
2021-12-20,39.20549774169922,10700
2021-12-21,41.99479675292969,10600
2021-12-22,42.47618103027344,7700
2021-12-23,43.26618957519531,7400
2021-12-27,44.40170669555664,8400
2021-12-28,43.42923355102539,5900
2021-12-29,42.47715377807617,10900
2021-12-30,42.656700134277344,7100
2021-12-31,42.350013732910156,3800
2022-01-03,42.53635787963867,4800
2022-01-04,42.23645782470703,9500
2022-01-05,39.88486099243164,5100
2022-01-06,38.8425178527832,15500
2022-01-07,37.75358581542969,20000
2022-01-10,36.59865188598633,16100
2022-01-11,36.92863082885742,15800
2022-01-12,37.83122634887695,16200
2022-01-13,35.036102294921875,22800
2022-01-14,33.7161865234375,20700
2022-01-18,31.872180938720703,15500
2022-01-19,30.931732177734375,41900
2022-01-20,30.46879005432129,11000
2022-01-21,28.36468505859375,17100
2022-01-24,27.98035430908203,40300
2022-01-25,26.937034606933594,6600
2022-01-26,27.048648834228516,11500
2022-01-27,25.674373626708984,32200
2022-01-28,26.082000732421875,18900
2022-01-31,28.523853302001953,15500
2022-02-01,29.581722259521484,23700
2022-02-02,29.86124038696289,16800
2022-02-03,27.09717559814453,19000
2022-02-04,27.498001098632812,2100
2022-02-07,27.368921279907227,7400
2022-02-08,28.077411651611328,3000
2022-02-09,29.927234649658203,13800
2022-02-10,28.79560089111328,20900
2022-02-11,27.16510772705078,7400
2022-02-14,26.903064727783203,7200
2022-02-15,28.926620483398438,11600
2022-02-16,29.969934463500977,7000
2022-02-17,27.936681747436523,15500
2022-02-18,26.340158462524414,10000
2022-02-22,26.049001693725586,7900
2022-02-23,24.568944931030273,13600
2022-02-24,25.69961166381836,25400
2022-02-25,27.431034088134766,16200
2022-02-28,28.077411651611328,19700
2022-03-01,26.84483528137207,16000
2022-03-02,28.32004165649414,3900
2022-03-03,27.16899299621582,4900
2022-03-04,25.17552947998047,7000
2022-03-07,22.660884857177734,16200
2022-03-08,22.574508666992188,22300
2022-03-09,24.418514251708984,8600
2022-03-10,23.81678581237793,5700
2022-03-11,22.341583251953125,4000
2022-03-14,21.6573543548584,15300
2022-03-15,22.215412139892578,7400
2022-03-16,24.55438232421875,10400
2022-03-17,26.0975284576416,19700
2022-03-18,27.547494888305664,9100
2022-03-21,27.22625160217285,7900
2022-03-22,27.262163162231445,4700
2022-03-23,26.01988410949707,5100
2022-03-24,27.161226272583008,4800
2022-03-25,26.446918487548828,4300
2022-03-28,26.53426742553711,2000
2022-03-29,27.979381561279297,14600
2022-03-30,27.504793167114258,16500
2022-03-31,26.74778175354004,8300
2022-04-01,26.585704803466797,5100
2022-04-04,26.934123992919922,20900
2022-04-05,25.477359771728516,7600
2022-04-06,24.000215530395508,11500
2022-04-07,23.93810272216797,5700
2022-04-08,23.175264358520508,3600
2022-04-11,21.65056037902832,7100
2022-04-12,20.90325927734375,20000
2022-04-13,22.029069900512695,3900
2022-04-14,21.266237258911133,8900
2022-04-18,20.703327178955078,3500
2022-04-19,21.623388290405273,3900
2022-04-20,21.412782669067383,3100
2022-04-21,20.677122116088867,9500
2022-04-22,19.14659881591797,13900
2022-04-25,19.119426727294922,3400
2022-04-26,17.718950271606445,7700
2022-04-27,17.4966983795166,7400
2022-04-28,18.340087890625,3900
2022-04-29,17.74127197265625,9100
2022-05-02,18.015932083129883,9100
2022-05-03,18.129484176635742,3500
2022-05-04,19.175710678100586,13600
2022-05-05,17.566577911376953,22000
2022-05-06,16.644577026367188,10000
2022-05-09,14.841330528259277,25200
2022-05-10,14.477381706237793,6900
2022-05-11,13.917387008666992,9600
2022-05-12,14.014439582824707,9400
2022-05-13,15.371241569519043,6900
2022-05-16,15.295538902282715,2400
2022-05-17,16.25636100769043,3700
2022-05-18,15.421706199645996,6300
2022-05-19,15.901148796081543,5200
2022-05-20,15.68375015258789,4900
2022-05-23,15.924444198608398,6700
2022-05-24,15.479939460754395,3800
2022-05-25,15.772067070007324,3900
2022-05-26,16.407764434814453,9300
2022-05-27,17.304534912109375,27400
2022-05-31,17.41129493713379,7900
2022-06-01,16.8289737701416,11700
2022-06-02,18.207124710083008,6300
2022-06-03,17.217187881469727,4800
